N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,engaged,flip
16,16,z:il2d,nat-oop,163,145,62.726,0.891,2.481e-16,chain+rb2,0,0
16,16,z:il2d,nat-oop,163,149,62.771,0.912,2.481e-16,chain+rb2,0,1
32,16,z:il2d,nat-oop,498,338,46.279,0.680,2.337e-16,turn,0,0
32,16,z:il2d,nat-oop,498,339,46.279,0.681,2.337e-16,turn,0,1
32,32,z:il2d,nat-oop,1297,716,39.466,0.552,2.408e-16,chain+rb2,23731,0
32,32,z:il2d,nat-oop,1446,727,35.412,0.503,2.408e-16,chain+rb2,22417,1
128,64,z:il2d,nat-oop,5868,4936,90.736,0.841,4.291e-16,turn,3179,0
128,64,z:il2d,nat-oop,6045,5096,88.079,0.843,4.291e-16,turn,2442,1
128,128,z:il2d,nat-oop,19181,12967,59.792,0.676,3.849e-16,chain,1497,0
128,128,z:il2d,nat-oop,19062,12646,60.165,0.663,3.849e-16,chain,1669,1
128,256,z:il2d,nat-oop,34216,15033,71.825,0.439,3.960e-16,chain,925,0
128,256,z:il2d,nat-oop,34380,14531,71.483,0.423,3.960e-16,chain,695,1
128,512,z:il2d,nat-oop,49807,28587,105.265,0.574,3.177e-16,chain,405,0
128,512,z:il2d,nat-oop,51413,26593,101.975,0.517,3.177e-16,chain,380,1
256,32,z:il2d,nat-oop,6212,5563,85.720,0.896,3.654e-16,turn,3071,0
256,32,z:il2d,nat-oop,6600,5607,80.674,0.850,3.654e-16,turn,3265,1
256,64,z:il2d,nat-oop,14680,14219,78.128,0.969,4.810e-16,turn,1502,0
256,64,z:il2d,nat-oop,13642,14316,84.071,1.049,4.810e-16,turn,1557,1
256,128,z:il2d,nat-oop,43590,18236,56.380,0.418,3.796e-16,chain,854,0
256,128,z:il2d,nat-oop,49008,17849,50.147,0.364,3.796e-16,chain,627,1
256,256,z:il2d,nat-oop,50300,31763,104.232,0.631,4.142e-16,chain+rb2,538,0
256,256,z:il2d,nat-oop,51573,33130,101.659,0.642,4.142e-16,chain+rb2,353,1
256,8192,z:il2d,nat-oop,1260138,1410088,174.744,1.119,1.499e-15,chain,83,0
256,8192,z:il2d,nat-oop,1271163,1522825,173.228,1.198,1.499e-15,chain,85,1
512,64,z:il2d,nat-oop,23979,18966,102.491,0.791,4.886e-16,turn,905,0
512,64,z:il2d,nat-oop,23905,20059,102.807,0.839,4.886e-16,turn,612,1
512,128,z:il2d,nat-oop,54893,32860,95.510,0.599,3.504e-16,chain,410,0
512,128,z:il2d,nat-oop,67383,32997,77.807,0.490,3.504e-16,chain,361,1
1024,64,z:il2d,nat-oop,35520,32543,147.604,0.916,4.602e-16,turn,575,0
1024,64,z:il2d,nat-oop,34353,36540,152.616,1.064,4.602e-16,turn,452,1
2048,2048,z:il2d,nat-oop,5686625,5663150,81.133,0.996,3.138e-15,chain,82,0
2048,2048,z:il2d,nat-oop,5543037,5774988,83.235,1.042,3.138e-15,chain,82,1
4096,128,z:il2d,nat-oop,307537,286225,161.955,0.931,1.190e-15,chain,96,0
4096,128,z:il2d,nat-oop,290587,283500,171.402,0.976,1.190e-15,chain,87,1
4096,256,z:il2d,nat-oop,690400,633788,151.879,0.918,1.312e-15,chain,85,0
4096,256,z:il2d,nat-oop,667813,627012,157.017,0.939,1.312e-15,chain,98,1
4096,1024,z:il2d,nat-oop,6168212,6102350,74.799,0.989,3.061e-15,chain,83,0
4096,1024,z:il2d,nat-oop,6537275,6794588,70.576,1.039,3.061e-15,chain,82,1
8192,128,z:il2d,nat-oop,971763,745600,107.905,0.767,1.236e-15,chain,85,0
8192,128,z:il2d,nat-oop,974287,759987,107.625,0.780,1.236e-15,chain,89,1
8192,256,z:il2d,nat-oop,3328625,2464237,66.154,0.740,1.552e-15,chain+rb2,82,0
8192,256,z:il2d,nat-oop,2999000,2097963,73.425,0.700,1.552e-15,chain+rb2,83,1
8192,512,z:il2d,nat-oop,7965862,7365100,57.919,0.925,2.938e-15,chain,82,0
8192,512,z:il2d,nat-oop,7815188,7369838,59.035,0.943,2.938e-15,chain,82,1
