N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2312,1,z:ilp,nat-oop,4836,8478,26.710,1.753,1.348e-15,chain3,0
2312,1,z:ilp,nat-oop,5294,8470,24.401,1.600,1.348e-15,chain3,1
2313,1,z:ilp,nat-oop,22534,24577,5.736,1.091,8.084e-16,prime,0
2313,1,z:ilp,nat-oop,23175,24582,5.577,1.061,8.084e-16,prime,1
2314,1,z:ilp,nat-oop,28422,30618,4.550,1.077,6.354e-16,prime,0
2314,1,z:ilp,nat-oop,22195,30640,5.826,1.380,6.354e-16,prime,1
2315,1,z:ilp,nat-oop,23041,24393,5.615,1.059,1.004e-15,prime,0
2315,1,z:ilp,nat-oop,23150,24437,5.588,1.056,1.004e-15,prime,1
2316,1,z:ilp,nat-oop,22187,24398,5.834,1.100,7.844e-16,prime,0
2316,1,z:ilp,nat-oop,33864,24404,3.822,0.721,7.844e-16,prime,1
2317,1,z:ilp,nat-oop,23130,24545,5.599,1.061,7.564e-16,prime,0
2317,1,z:ilp,nat-oop,22225,24520,5.827,1.103,7.564e-16,prime,1
2318,1,z:ilp,nat-oop,22763,21687,5.692,0.953,8.646e-16,prime,0
2318,1,z:ilp,nat-oop,22233,21679,5.827,0.975,8.646e-16,prime,1
2319,1,z:ilp,nat-oop,36355,24458,3.566,0.673,7.056e-16,prime,0
2319,1,z:ilp,nat-oop,23123,24434,5.606,1.057,7.056e-16,prime,1
2320,1,z:ilp,nat-oop,5251,8598,24.696,1.637,1.773e-15,flat,0
2320,1,z:ilp,nat-oop,5191,8608,24.984,1.658,1.773e-15,flat,1
2321,1,z:ilp,nat-oop,22949,24523,5.654,1.069,7.187e-16,prime,0
2321,1,z:ilp,nat-oop,23197,24517,5.593,1.057,7.187e-16,prime,1
2322,1,z:ilp,nat-oop,12201,12670,10.640,1.038,2.650e-15,chain3,0
2322,1,z:ilp,nat-oop,13672,12733,9.495,0.931,2.650e-15,chain3,1
2323,1,z:ilp,nat-oop,22687,24384,5.725,1.075,7.885e-16,prime,0
2323,1,z:ilp,nat-oop,22188,24438,5.853,1.101,7.885e-16,prime,1
2324,1,z:ilp,nat-oop,22785,26765,5.703,1.175,9.437e-16,prime,0
2324,1,z:ilp,nat-oop,22725,26774,5.718,1.178,9.437e-16,prime,1
2325,1,z:ilp,nat-oop,9135,11121,14.232,1.217,1.967e-15,chain3,0
2325,1,z:ilp,nat-oop,9263,11115,14.035,1.200,1.967e-15,chain3,1
2326,1,z:ilp,nat-oop,22520,24598,5.776,1.092,9.443e-16,prime,0
2326,1,z:ilp,nat-oop,22450,24554,5.794,1.094,9.443e-16,prime,1
2327,1,z:ilp,nat-oop,22753,24429,5.719,1.074,8.746e-16,prime,0
2327,1,z:ilp,nat-oop,22752,24465,5.720,1.075,8.746e-16,prime,1
2328,1,z:ilp,nat-oop,22554,32956,5.772,1.461,6.937e-16,prime,0
2328,1,z:ilp,nat-oop,22533,33018,5.778,1.465,6.937e-16,prime,1
