library,N,l2_error,max_error,rt_error
VectorFFT,2096,5.582e-16,9.518e-16,1.444e-15
MKL,2096,3.203e-16,5.107e-16,1.256e-15
VectorFFT,2097,5.647e-16,6.630e-16,1.250e-15
MKL,2097,4.552e-16,4.925e-16,1.425e-15
VectorFFT,2098,5.577e-16,8.489e-16,1.260e-15
MKL,2098,4.588e-16,6.287e-16,1.857e-15
VectorFFT,2099,5.705e-16,5.759e-16,1.318e-15
MKL,2099,4.787e-16,4.273e-16,1.586e-15
VectorFFT,2100,4.413e-16,4.811e-16,1.117e-15
MKL,2100,2.838e-16,2.585e-16,9.590e-16
VectorFFT,2101,5.213e-16,7.714e-16,1.353e-15
MKL,2101,4.838e-16,5.409e-16,1.499e-15
VectorFFT,2102,5.651e-16,6.722e-16,1.519e-15
MKL,2102,4.566e-16,4.361e-16,1.377e-15
VectorFFT,2103,5.689e-16,6.438e-16,1.539e-15
MKL,2103,4.740e-16,5.934e-16,1.474e-15
VectorFFT,2104,5.406e-16,6.996e-16,1.227e-15
MKL,2104,4.606e-16,5.333e-16,1.412e-15
VectorFFT,2105,5.626e-16,6.670e-16,1.413e-15
MKL,2105,4.698e-16,4.408e-16,1.531e-15
VectorFFT,2106,6.163e-16,8.011e-16,1.635e-15
MKL,2106,3.041e-16,3.532e-16,1.050e-15
VectorFFT,2107,4.511e-16,5.315e-16,1.106e-15
MKL,2107,3.026e-16,2.957e-16,8.590e-16
VectorFFT,2108,7.196e-16,9.984e-16,2.444e-15
MKL,2108,2.646e-16,2.957e-16,8.117e-16
VectorFFT,2109,6.407e-16,8.040e-16,2.211e-15
MKL,2109,3.403e-16,3.801e-16,1.270e-15
VectorFFT,2110,5.428e-16,8.887e-16,1.286e-15
MKL,2110,4.574e-16,4.435e-16,1.463e-15
VectorFFT,2111,5.572e-16,7.339e-16,1.155e-15
MKL,2111,4.714e-16,4.604e-16,1.420e-15
VectorFFT,2112,4.673e-16,4.969e-16,9.482e-16
MKL,2112,2.471e-16,3.413e-16,7.424e-16
VectorFFT,2113,7.892e-16,7.399e-16,2.128e-15
MKL,2113,4.891e-16,5.297e-16,1.540e-15
VectorFFT,2114,5.535e-16,8.537e-16,1.361e-15
MKL,2114,4.595e-16,5.930e-16,1.468e-15
VectorFFT,2115,5.441e-16,7.517e-16,1.296e-15
MKL,2115,3.239e-16,2.923e-16,9.354e-16
VectorFFT,2116,9.607e-16,2.043e-15,3.625e-15
MKL,2116,2.588e-16,3.279e-16,8.937e-16
VectorFFT,2117,5.666e-16,8.110e-16,1.348e-15
MKL,2117,3.353e-16,3.729e-16,1.005e-15
VectorFFT,2118,5.604e-16,9.311e-16,1.441e-15
MKL,2118,4.645e-16,5.197e-16,1.435e-15
VectorFFT,2119,5.629e-16,7.343e-16,1.396e-15
MKL,2119,4.624e-16,4.150e-16,1.621e-15
VectorFFT,2120,5.651e-16,8.469e-16,1.542e-15
MKL,2120,2.822e-16,3.441e-16,8.280e-16
VectorFFT,2121,5.541e-16,5.569e-16,1.363e-15
MKL,2121,4.700e-16,3.905e-16,1.440e-15
VectorFFT,2122,5.394e-16,6.727e-16,1.248e-15
MKL,2122,4.593e-16,4.312e-16,1.533e-15
VectorFFT,2123,5.347e-16,9.782e-16,1.410e-15
