library,N,l2_error,max_error,rt_error
MKL,50,2.145e-16,2.714e-16,4.127e-16
VectorFFT,51,4.372e-16,5.686e-16,9.657e-16
MKL,51,2.158e-16,2.463e-16,5.485e-16
VectorFFT,52,3.905e-16,6.850e-16,8.543e-16
MKL,52,1.687e-16,1.878e-16,4.793e-16
VectorFFT,53,6.900e-16,5.847e-16,1.515e-15
MKL,53,2.060e-16,1.956e-16,5.467e-16
VectorFFT,54,3.753e-16,4.572e-16,8.593e-16
MKL,54,1.499e-16,1.406e-16,3.888e-16
VectorFFT,55,3.098e-16,3.748e-16,6.194e-16
MKL,55,2.375e-16,2.462e-16,5.394e-16
VectorFFT,56,2.682e-16,3.406e-16,3.750e-16
MKL,56,1.497e-16,1.384e-16,4.537e-16
VectorFFT,57,3.168e-16,3.485e-16,7.276e-16
MKL,57,2.370e-16,3.045e-16,5.362e-16
VectorFFT,58,3.682e-16,3.548e-16,6.849e-16
MKL,58,2.167e-16,2.456e-16,4.837e-16
VectorFFT,59,5.683e-16,7.124e-16,1.122e-15
MKL,59,2.794e-16,3.300e-16,7.699e-16
VectorFFT,60,3.567e-16,3.063e-16,7.854e-16
MKL,60,1.989e-16,1.657e-16,5.332e-16
VectorFFT,61,7.338e-16,6.633e-16,1.678e-15
MKL,61,2.690e-16,3.016e-16,5.892e-16
VectorFFT,62,3.691e-16,4.822e-16,8.653e-16
MKL,62,2.000e-16,2.611e-16,5.745e-16
VectorFFT,63,3.162e-16,3.552e-16,6.183e-16
MKL,63,2.218e-16,2.445e-16,5.014e-16
VectorFFT,64,1.689e-16,1.431e-16,3.385e-16
MKL,64,1.405e-16,1.223e-16,3.385e-16
VectorFFT,65,4.130e-16,5.363e-16,7.109e-16
MKL,65,2.776e-16,3.963e-16,7.623e-16
VectorFFT,66,2.751e-16,3.372e-16,6.100e-16
MKL,66,1.868e-16,1.771e-16,4.278e-16
VectorFFT,67,5.731e-16,5.723e-16,1.273e-15
MKL,67,2.498e-16,2.578e-16,5.308e-16
VectorFFT,68,3.771e-16,3.488e-16,8.066e-16
MKL,68,1.777e-16,1.464e-16,4.164e-16
VectorFFT,69,4.221e-16,4.966e-16,8.738e-16
MKL,69,2.570e-16,4.325e-16,5.057e-16
VectorFFT,70,2.490e-16,2.439e-16,4.302e-16
MKL,70,1.837e-16,1.574e-16,4.204e-16
VectorFFT,71,5.103e-16,5.997e-16,1.124e-15
MKL,71,2.710e-16,2.697e-16,5.873e-16
VectorFFT,72,3.048e-16,2.951e-16,5.276e-16
MKL,72,1.650e-16,1.648e-16,4.780e-16
