N,K,category,factors,vfft_ns,mkl_ns,vfft_gflops,mkl_gflops,ratio_vs_mkl
15625,256,prime_pow,5x5x25x25,13207815,29318195,21.096,9.504,2.220
16807,4,prime_pow,7x7x7x7x7,142048,279179,33.216,16.901,1.965
16807,32,prime_pow,7x7x7x7x7,1027850,2925725,36.724,12.902,2.846
16807,256,prime_pow,7x7x7x7x7,13952385,32442840,21.643,9.308,2.325
78125,4,prime_pow,25x5x25x25,639455,1623845,39.715,15.639,2.539
78125,32,prime_pow,25x25x5x25,6756165,19062840,30.072,10.658,2.822
78125,256,prime_pow,5x5x5x25x5x5,89896560,179878030,18.080,9.036,2.001
117649,4,prime_pow,7x7x7x7x7x7,1345900,2627715,29.448,15.083,1.952
117649,32,prime_pow,7x7x7x7x7x7,14024310,37233060,22.609,8.516,2.655
117649,256,prime_pow,7x7x7x7x7x7,123610730,324260680,20.521,7.823,2.623
390625,4,prime_pow,25x25x25x25,4071895,14731440,35.640,9.851,3.618
390625,32,prime_pow,25x25x25x25,41828275,148681860,27.755,7.808,3.555
390625,256,prime_pow,5x5x5x5x5x5x25,493601525,1303731480,18.816,7.124,2.641
823543,4,prime_pow,7x7x7x7x7x7x7,15786175,34549990,20.504,9.368,2.189
