N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
3125,4,5x25x25/DIF,baked,18858,43008,38.476,2.281,4.375e-14
400,32,16x5x5/DIT,JIT,7997,30449,69.179,3.808,2.331e-14
401,32,[override],rader-JIT,31185,89980,17.791,2.885,3.984e-14
59,256,[override],blue-JIT,83295,168179,5.334,2.019,2.472e-14
60,256,12x5/DIT,JIT,8902,36633,50.963,4.115,1.839e-14
4000,4,8x10x10x5/DIF,baked,19081,51148,50.167,2.681,3.208e-14
500,32,10x10x5/DIT,JIT,11239,38739,63.821,3.447,4.065e-14
4001,4,[override],rader-JIT,84757,117618,11.297,1.388,6.403e-14
4096,4,4x4x8x32/DIF,baked,21831,35275,45.029,1.616,1.602e-14
512,32,4x4x32/DIF,baked,12412,24619,59.399,1.983,1.183e-14
64,256,4x4x4/DIT,JIT,8399,23143,58.520,2.755,4.474e-16
525,32,7x3x5x5/DIT,baked,13461,49250,56.387,3.659,2.562e-14
544,32,8x4x17/DIF,JIT,16463,67493,48.045,4.100,1.108e-14
4620,4,5x11x12x7/DIF,baked,33954,65364,33.129,1.925,2.131e-14
5000,4,25x20x10/DIT,baked,29519,65653,41.626,2.224,4.167e-14
625,32,5x5x5x5/DIF,baked,16068,55592,57.804,3.460,3.793e-14
640,32,64x10/DIT,JIT,15863,51130,60.176,3.223,2.432e-14
641,32,[override],rader-JIT,56931,219362,16.797,3.853,3.626e-14
83,256,[override],blue-JIT,149920,342327,4.518,2.283,3.672e-14
95,256,5x19/DIT,JIT,23932,89232,33.382,3.729,1.720e-14
100,256,4x5x5/DIF,JIT,14572,56837,58.360,3.900,2.283e-14
6615,4,5x7x7x3x3x3/DIF,baked,47157,114989,35.606,2.438,2.101e-14
107,256,[override],blue-JIT,138944,163142,6.645,1.174,2.423e-14
6930,4,6x3x5x11x7/DIF,baked,47233,103242,37.439,2.186,2.123e-14
119,256,17x7/DIT,JIT,30725,108122,34.182,3.519,1.361e-14
1000,32,5x8x5x5/DIT,JIT,31298,79111,50.946,2.528,2.929e-14
1008,32,12x12x7/DIT,JIT,22558,79303,71.333,3.516,1.498e-14
126,256,6x3x7/DIT,JIT,22690,72319,49.594,3.187,1.379e-14
1009,32,[override],rader-JIT,92172,219011,17.478,2.376,2.613e-14
127,256,[override],rader-JIT,69284,173008,16.398,2.497,2.390e-14
8192,4,4x4x64x8/DIF,baked,45123,80177,47.203,1.777,2.097e-14
1024,32,4x4x8x8/DIT,baked,24795,68074,66.078,2.745,1.543e-14
128,256,4x4x8/DIT,JIT,18949,52000,60.524,2.744,7.069e-15
1225,32,5x7x7x5/DIT,baked,33578,129518,59.880,3.857,2.895e-14
10000,4,8x5x25x10/DIF,baked,76020,123112,34.958,1.619,3.910e-14
1331,32,11x11x11/DIT,baked,49367,134452,44.770,2.724,1.741e-14
167,256,[override],blue-JIT,264557,352037,5.966,1.331,3.283e-14
169,256,13x13/DIT,JIT,50720,120167,31.565,2.369,2.642e-14
11025,4,25x3x3x7x7/DIF,baked,86751,198596,34.132,2.289,2.801e-14
175,256,7x5x5/DIT,JIT,28068,114886,59.465,4.093,2.640e-14
179,256,[override],blue-JIT,360319,367153,4.759,1.019,2.539e-14
200,256,8x5x5/DIT,JIT,28651,112590,68.298,3.930,2.364e-14
13860,4,12x3x11x5x7/DIT,baked,98700,231606,38.641,2.347,2.152e-14
220,256,5x4x11/DIT,JIT,45697,134854,47.951,2.951,1.762e-14
14641,4,11x11x11x11/DIT,baked,116074,246362,34.909,2.122,1.915e-14
243,256,3x3x3x3x3/DIT,JIT,62078,160809,39.707,2.590,1.218e-14
15625,4,25x5x5x25/DIF,baked,117326,267400,37.107,2.279,5.083e-14
2000,32,16x5x5x5/DIT,JIT,58790,174377,59.688,2.966,3.293e-14
250,256,10x5x5/DIT,JIT,45706,149019,55.770,3.260,3.333e-14
251,256,[override],rader-JIT,180968,353245,14.152,1.952,6.635e-14
16384,4,8x8x16x16/DIT,baked,168517,185757,27.223,1.102,2.110e-14
2048,32,8x4x8x8/DIT,baked,69307,150683,52.008,2.174,1.756e-14
256,256,4x4x16/DIT,JIT,73730,98323,35.555,1.334,7.782e-15
257,256,[override],rader-JIT,242823,559690,10.845,2.305,1.910e-14
16807,4,7x7x7x7x7/DIT,baked,111634,292959,42.266,2.624,2.462e-14
263,256,[override],blue-JIT,436921,556859,6.194,1.275,3.551e-14
2197,32,13x13x13/DIT,baked,91943,268100,42.443,2.916,2.748e-14
2205,32,7x3x7x3x5/DIT,baked,74482,278011,52.609,3.733,2.228e-14
2310,32,11x7x6x5/DIT,JIT,77937,231389,52.989,2.969,2.418e-14
2401,32,7x7x7x7/DIF,baked,97692,282573,44.158,2.892,2.184e-14
311,256,[override],blue-JIT,371408,661188,8.875,1.780,7.006e-14
20000,4,32x25x25/DIF,baked,146496,319846,39.012,2.183,3.509e-14
2800,32,16x5x7x5/DIT,JIT,81086,256473,63.268,3.163,2.691e-14
2801,32,[override],rader-JIT,360905,1092568,14.220,3.027,5.163e-14
3125,32,5x5x5x5x5/DIT,baked,103826,343537,55.909,3.309,4.536e-14
400,256,16x5x5/DIT,JIT,122811,262837,36.036,2.140,2.482e-14
401,256,[override],rader-JIT,411811,781279,10.778,1.897,4.652e-14
28561,4,13x13x13x13/DIT,baked,297947,537788,28.378,1.805,3.207e-14
30030,4,11x7x10x13x3/DIT,baked,270094,570956,33.075,2.114,3.224e-14
4000,32,8x5x20x5/DIT,JIT,130693,423160,58.596,3.238,3.966e-14
500,256,5x4x5x5/DIT,JIT,98493,329960,58.259,3.350,3.291e-14
4001,32,[override],rader-JIT,751913,968120,10.188,1.288,5.738e-14
32768,4,4x4x4x4x4x32/DIF,baked,338120,410873,29.074,1.215,1.277e-14
4096,32,4x4x4x8x8/DIT,baked,147213,378920,53.421,2.574,1.347e-14
512,256,4x4x4x8/DIT,JIT,104673,275920,56.349,2.636,8.076e-15
525,256,5x3x5x7/DIT,JIT,108464,486814,55.984,4.488,2.716e-14
4620,32,11x7x12x5/DIT,JIT,187685,656223,47.946,3.496,2.446e-14
5000,32,5x10x10x10/DIT,JIT,226975,610675,43.309,2.690,5.075e-14
625,256,5x5x5x5/DIT,JIT,159367,513508,46.623,3.222,4.018e-14
640,256,4x4x8x5/DIT,JIT,158125,568167,48.294,3.593,1.660e-14
641,256,[override],rader-JIT,546767,1913925,13.992,3.500,4.143e-14
50000,4,16x5x25x25/DIT,baked,470489,876122,33.177,1.862,4.708e-14
6615,32,7x3x7x3x3x5/DIT,baked,383222,1060433,35.052,2.767,2.517e-14
6930,32,11x7x5x3x6/DIT,JIT,342200,971289,41.341,2.838,2.420e-14
60060,4,12x11x13x5x7/DIT,baked,532288,1204538,35.823,2.263,3.118e-14
1000,256,8x5x5x5/DIT,JIT,291900,941387,43.701,3.225,3.317e-14
1008,256,6x8x7x3/DIT,JIT,360987,847125,35.661,2.347,1.638e-14
1009,256,[override],rader-JIT,1010837,1911888,12.750,1.891,3.030e-14
65536,4,4x4x4x4x4x4x16/DIT,baked,680525,903925,30.817,1.328,8.135e-15
8192,32,4x4x4x4x32/DIT,baked,444425,906163,38.340,2.039,1.408e-14
1024,256,4x4x4x4x4/DIT,JIT,371838,692163,35.250,1.861,7.855e-16
78125,4,25x5x25x25/DIT,baked,747150,1592212,33.991,2.131,5.238e-14
1225,256,7x7x5x5/DIT,JIT,380200,1414775,42.308,3.721,3.446e-14
10000,32,16x5x25x5/DIT,JIT,501387,1431562,42.403,2.855,3.826e-14
1331,256,11x11x11/DIT,JIT,489713,1368050,36.105,2.794,1.836e-14
11025,32,7x7x3x25x3/DIT,baked,645900,1923375,36.674,2.978,3.297e-14
100000,4,10x16x25x25/DIT,JIT,977537,2114863,33.983,2.163,5.178e-14
13860,32,11x7x12x3x5/DIT,JIT,708200,2425587,43.083,3.425,2.342e-14
