N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
64,64,z:il2d,nat-oop,5234,7154,46.958,1.367,3.838e-16,chain,0
64,64,z:il2d,nat-oop,6031,7152,40.747,1.186,3.838e-16,chain,1
