N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
625,256,5x5x5x5/DIT,JIT,159367,513508,46.623,3.222,4.018e-14
640,256,4x4x8x5/DIT,JIT,158125,568167,48.294,3.593,1.660e-14
641,256,[override],avg2,561367,1850746,13.628,3.297,4.143e-14
50000,4,16x5x25x25/DIT,avg2,438794,867561,35.574,1.977,4.710e-14
6615,32,7x3x7x3x3x5/DIT,baked,383222,1060433,35.052,2.767,2.517e-14
6930,32,11x7x5x3x6/DIT,JIT,342200,971289,41.341,2.838,2.420e-14
60060,4,12x11x13x5x7/DIT,avg2,551432,1202688,34.579,2.181,3.120e-14
1000,256,8x5x5x5/DIT,JIT,291900,941387,43.701,3.225,3.317e-14
1008,256,6x8x7x3/DIT,JIT,360987,847125,35.661,2.347,1.638e-14
1009,256,[override],avg2,925894,1894150,13.919,2.046,3.030e-14
65536,4,4x4x4x4x4x4x16/DIT,avg2,694844,927932,30.182,1.335,8.140e-15
8192,32,4x4x4x4x32/DIT,baked,444425,906163,38.340,2.039,1.408e-14
1024,256,4x4x4x4x4/DIT,JIT,371838,692163,35.250,1.861,7.855e-16
78125,4,25x5x25x25/DIT,avg2,724456,1615562,35.055,2.230,5.240e-14
1225,256,7x7x5x5/DIT,JIT,380200,1414775,42.308,3.721,3.446e-14
10000,32,16x5x25x5/DIT,JIT,501387,1431562,42.403,2.855,3.826e-14
1331,256,11x11x11/DIT,JIT,489713,1368050,36.105,2.794,1.836e-14
11025,32,7x7x3x25x3/DIT,baked,645900,1923375,36.674,2.978,3.297e-14
100000,4,10x16x25x25/DIT,avg2,948750,1963606,35.014,2.070,5.180e-14
13860,32,11x7x12x3x5/DIT,JIT,708200,2425587,43.083,3.425,2.342e-14
14641,32,11x11x11x11/DIT,baked,859362,2646675,37.721,3.080,2.247e-14
117649,4,7x7x7x7x7x7/DIT,avg2,1262488,2641331,31.393,2.092,2.890e-14
15625,32,25x25x25/DIT,baked,908613,2946887,38.332,3.243,5.037e-14
2000,256,5x4x4x5x5/DIT,JIT,755400,2130938,37.162,2.821,3.425e-14
131072,4,4x4x4x4x8x4x4x4/DIT,avg2,1548556,2195838,28.778,1.418,8.350e-15
16384,32,4x4x4x4x64/DIT,baked,1042787,2051138,35.194,1.967,1.996e-14
2048,256,4x4x4x4x8/DIT,JIT,818925,1519913,35.212,1.856,8.255e-15
16807,32,7x7x7x7x7/DIT,baked,942300,3045587,40.058,3.232,2.593e-14
2197,256,13x13x13/DIT,JIT,1470575,2432175,21.229,1.654,3.407e-14
2205,256,7x7x5x3x3/DIT,JIT,880688,2625338,35.594,2.981,2.644e-14
2310,256,6x5x7x11/DIT,JIT,931175,2259538,35.480,2.427,2.394e-14
2401,256,7x7x7x7/DIT,JIT,772800,3215925,44.657,4.161,2.434e-14
20000,32,16x5x25x10/DIT,JIT,1024212,3186263,44.640,3.111,4.550e-14
161051,4,11x11x11x11x11/DIT,avg2,1688019,4776713,33.006,2.830,2.500e-14
2800,256,4x4x7x5x5/DIT,JIT,1092188,2957050,37.577,2.707,2.975e-14
2801,256,[override],avg2,3560531,9183876,11.531,2.579,5.062e-14
3125,256,5x5x5x5x5/DIT,JIT,1200075,3877725,38.696,3.231,4.670e-14
28561,32,13x13x13x13/DIT,baked,2005563,5648300,33.726,2.816,3.559e-14
30030,32,13x7x6x11x5/DIT,JIT,1852687,4797275,38.575,2.589,3.116e-14
4000,256,4x4x10x5x5/DIT,JIT,1579650,4655062,38.784,2.947,3.868e-14
4001,256,[override],avg2,6403275,8910388,9.570,1.392,6.553e-14
32768,32,4x4x4x4x2x16x4/DIT,baked,2387863,4131288,32.935,1.730,8.663e-15
4096,256,4x4x4x64/DIT,JIT,2125350,3930363,29.602,1.849,1.985e-14
4620,256,12x11x5x7/DIT,JIT,2042125,6331038,35.253,3.100,2.509e-14
5000,256,8x5x5x5x5/DIT,JIT,2010700,5354762,39.111,2.663,4.439e-14
390625,4,25x25x25x25/DIT,avg2,4541106,14452912,31.957,3.183,7.070e-14
50000,32,16x25x5x25/DIT,JIT,3199025,8939825,39.036,2.795,4.622e-14
6615,256,3x5x7x7x3x3/DIT,JIT,4032913,9116762,26.646,2.261,2.465e-14
6930,256,10x11x7x3x3/DIT,JIT,4369412,8969900,25.901,2.053,2.813e-14
60060,32,11x7x10x13x6/DIT,JIT,4915812,11691800,31.031,2.378,3.730e-14
