N,K,kind,factorization,gate,order,vfft_ns,mkl_ns,speedup
1024,128,MODEB,4,4,4,4,4,5.0e-16,scrambled,197333,346327,1.755
8,32,LEAF,LEAF,3.2e-15,natural,229,6749,29.525
16,32,BAILEY2,4x4,1.4e-16,natural,152,6967,45.798
32,32,BAILEY2,4x8,3.4e-15,natural,366,7822,21.356
64,32,BAILEY2,8x8,6.4e-15,natural,1318,9362,7.101
128,32,BAILEY2,4x32,7.9e-15,natural,3138,13763,4.386
256,32,BAILEY2,4x64,9.3e-15,natural,7682,19617,2.554
512,32,BAILEY2,8x64,1.2e-14,natural,19646,32815,1.670
1024,32,MODEB,4,4,8,8,8.5e-15,scrambled,56210,69854,1.243
2048,32,MODEB,8,4,8,8,1.1e-14,scrambled,105957,168763,1.593
4096,32,MODEB,4,4,4,8,8,8.2e-15,scrambled,268627,412767,1.537
8192,32,MODEB,4,4,4,4,32,8.9e-15,scrambled,487962,814525,1.669
16384,32,MODEB,4,4,4,4,64,1.4e-14,scrambled,963113,2190338,2.274
32768,32,MODEB,4,4,4,4,2,16,4,4.9e-15,scrambled,2570950,6373313,2.479
65536,32,MODEB,4,4,4,4,4,4,16,5.4e-15,scrambled,7799175,17161750,2.200
131072,32,MODEB,16,4,4,4,4,32,1.2e-14,scrambled,19336088,38494600,1.991
8,256,MODEB,8,3.6e-15,scrambled,661,25469,38.533
16,256,BAILEY2,4x4,2.2e-16,natural,1880,28312,15.059
32,256,MODEB,4,8,4.4e-15,scrambled,2569,36025,14.022
64,256,MODEB,4,4,4,2.8e-16,scrambled,8726,45858,5.255
128,256,MODEB,4,4,8,4.8e-15,scrambled,28377,73607,2.594
256,256,MODEB,4,4,16,4.4e-15,scrambled,48997,137363,2.804
512,256,MODEB,4,4,4,8,4.8e-15,scrambled,117287,309833,2.642
1024,256,MODEB,4,4,4,4,4,5.0e-16,scrambled,250400,685025,2.736
2048,256,MODEB,4,4,4,4,8,5.1e-15,scrambled,410137,1549700,3.778
4096,256,MODEB,4,4,4,64,1.3e-14,scrambled,885400,4303550,4.861
8192,256,MODEB,4,4,4,4,32,9.9e-15,scrambled,3045538,11781662,3.869
16384,256,MODEB,4,4,4,4,64,1.6e-14,scrambled,11255175,27706388,2.462
32768,256,MODEB,4,16,16,32,1.6e-14,scrambled,20539850,60787425,2.959
65536,256,MODEB,4,4,8,16,32,1.7e-14,scrambled,52642538,162988575,3.096
128,1024,MODEB,2,4,4,4,3.9e-16,scrambled,70187,363767,5.183
