N1,N2,src,order,rt_err,vfft_ns,mkl_ns,speedup
64,64,wis,scrambled,8.3e-15,6043,4652,0.770
128,128,wis,scrambled,9.3e-15,22452,18866,0.840
256,256,wis,scrambled,1.4e-14,120630,79483,0.659
512,512,wis,scrambled,1.4e-14,580900,506687,0.872
