N1,N2,src,rt_err,vfft_ns,mkl_ns,speedup
64,64,wis,1.1e-14,6059,31784251,5245.955
128,128,wis,9.3e-15,22392,31181819,1392.555
256,256,wis,1.5e-14,65687,30431823,463.288
512,512,wis,1.5e-14,334925,26138937,78.044
