N1,N2,src,order,rt_err,vsmkl_elem,vfft_ns,mkl_ns,speedup
64,64,wis,scrambled,6.7e-15,1.6e+00,6757,7730,1.144
128,128,wis,scrambled,9.5e-15,1.5e+00,24820,33584,1.353
256,256,wis,scrambled,7.4e-15,1.2e+00,125413,152670,1.217
512,512,wis,scrambled,1.1e-14,1.5e+00,734675,944675,1.286
