N1,N2,src,order,rt_err,vsmkl_elem,vfft_ns,mkl_ns,speedup
64,64,wis,scrambled,6.7e-15,1.6e+00,6768,7795,1.152
128,128,wis,scrambled,9.5e-15,1.5e+00,25520,36573,1.433
256,256,wis,scrambled,7.4e-15,1.2e+00,115713,177947,1.538
512,512,wis,scrambled,1.1e-14,1.5e+00,751062,1234212,1.643
