# calibrate_k1 N=64 candidates=23 trials=4 reps=31250 (order-rotated)
cand,1024,2pa-ip,8,128,1414.2
cand,1024,twl-ip,8,128,1446.7
cand,1024,3p,16,64,1515.4
cand,1024,3p-ip,16,64,1254.3
cand,1024,2pa-ip,16,64,1122.3
cand,1024,2pb-ip,16,64,958.8
cand,1024,twl-ip,16,64,1196.6
cand,1024,3p-il,16,64,1848.3
cand,1024,2p-il,16,64,1341.4
cand,1024,3p,32,32,1546.0
cand,1024,3p-ip,32,32,1415.7
cand,1024,2pa-ip,32,32,1162.5
cand,1024,2pb-ip,32,32,1376.9
cand,1024,twl-ip,32,32,1071.1
cand,1024,3p-il,32,32,1811.6
cand,1024,2p-il,32,32,1347.0
cand,1024,3p,64,16,1436.7
cand,1024,3p-ip,64,16,1244.1
cand,1024,2pa-ip,64,16,1365.4
cand,1024,2pb-ip,64,16,1204.7
cand,1024,twl-ip,64,16,1051.8
cand,1024,3p-il,64,16,1974.4
cand,1024,2p-il,64,16,1627.6
K1VERDICT,1024,split-oop,3p,64,16,1436.7
K1VERDICT,1024,split-ip,2pb-ip,16,64,958.8
K1VERDICT,1024,il,2p-il,16,64,1341.4
# calibrate_k1 N=2048 candidates=18 trials=4 reps=976 (order-rotated)
cand,2048,3p,16,128,4547.1
cand,2048,3p-ip,16,128,4872.7
cand,2048,2pa-ip,16,128,4597.3
cand,2048,twl-ip,16,128,4739.5
cand,2048,3p,32,64,4463.5
cand,2048,3p-ip,32,64,4275.3
cand,2048,2pa-ip,32,64,4089.5
cand,2048,2pb-ip,32,64,3660.9
cand,2048,twl-ip,32,64,4196.6
cand,2048,3p-il,32,64,4698.5
cand,2048,2p-il,32,64,3955.3
cand,2048,3p,64,32,5498.4
cand,2048,3p-ip,64,32,4444.6
cand,2048,2pa-ip,64,32,3685.3
cand,2048,2pb-ip,64,32,3945.3
cand,2048,twl-ip,64,32,3910.5
cand,2048,3p-il,64,32,5181.4
cand,2048,2p-il,64,32,3511.0
K1VERDICT,2048,split-oop,3p,32,64,4463.5
K1VERDICT,2048,split-ip,2pb-ip,32,64,3660.9
K1VERDICT,2048,il,2p-il,64,32,3511.0
# calibrate_k1 N=4096 candidates=11 trials=4 reps=488 (order-rotated)
cand,4096,3p,32,128,10641.2
cand,4096,3p-ip,32,128,10628.3
cand,4096,2pa-ip,32,128,9975.4
cand,4096,twl-ip,32,128,9993.4
cand,4096,3p,64,64,11624.2
cand,4096,3p-ip,64,64,10841.0
cand,4096,2pa-ip,64,64,8165.4
cand,4096,2pb-ip,64,64,9217.6
cand,4096,twl-ip,64,64,9314.5
cand,4096,3p-il,64,64,11621.7
cand,4096,2p-il,64,64,8611.5
K1VERDICT,4096,split-oop,3p,32,128,10641.2
K1VERDICT,4096,split-ip,2pa-ip,64,64,8165.4
K1VERDICT,4096,il,2p-il,64,64,8611.5
# calibrate_k1 N=8192 candidates=4 trials=4 reps=244 (order-rotated)
cand,8192,3p,64,128,25336.1
cand,8192,3p-ip,64,128,25671.7
cand,8192,2pa-ip,64,128,22152.9
cand,8192,twl-ip,64,128,19650.0
K1VERDICT,8192,split-oop,3p,64,128,25336.1
K1VERDICT,8192,split-ip,twl-ip,64,128,19650.0
