N1,N2,src,order,rt_err,vsmkl_elem,vfft_ns,mkl_ns,speedup
64,64,wis,scrambled,6.7e-15,1.6e+00,4449,7643,1.718
128,128,wis,scrambled,9.5e-15,1.5e+00,24925,36153,1.451
256,256,wis,scrambled,7.4e-15,1.2e+00,114940,149763,1.303
512,512,wis,scrambled,1.1e-14,1.5e+00,747988,1187538,1.588
