N1,N2,src,order,rt_err,vsmkl_elem,vfft_ns,mkl_ns,speedup
64,64,wis,scrambled,1.0e-14,1.4e+00,6410,7800,1.217
128,128,wis,scrambled,1.1e-14,1.3e+00,23128,34889,1.509
256,256,wis,scrambled,1.1e-14,1.4e+00,147637,163333,1.106
512,512,wis,scrambled,1.3e-14,1.2e+00,956675,1060850,1.109
