N1,N2,src,order,rt_err,vsmkl_elem,vfft_ns,mkl_ns,speedup
64,64,exh,scrambled,1.1e-14,1.6e+00,5714,46575,8.151
128,128,wis,scrambled,9.5e-15,1.5e+00,23557,83500,3.545
256,256,wis,scrambled,7.4e-15,1.2e+00,80853,210797,2.607
512,512,wis,scrambled,1.1e-14,1.5e+00,468887,1065625,2.273
