N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err
5000,256,8x5x5x5x5/DIT,generic,947262,5602800,83.020,5.915,4.421e-14
50000,32,16x25x5x25/DIT,generic,2168312,12744625,57.592,5.878,4.632e-14
6615,256,3x5x7x7x3x3/DIT,generic,1627413,10326050,66.032,6.345,2.452e-14
6930,256,10x11x7x3x3/DIT,generic,1384587,9782300,81.739,7.065,2.823e-14
60060,32,11x7x10x13x6/DIT,generic,3532950,17157675,43.177,4.856,3.753e-14
8192,256,4x4x4x4x32/DIT,generic,2088425,9836537,65.272,4.710,1.400e-14
10000,256,4x5x5x5x20/DIT,generic,3356025,15972612,50.680,4.759,4.689e-14
11025,256,3x5x7x7x5x3/DIT,generic,5060425,21259775,37.448,4.201,3.504e-14
100000,32,16x10x25x25/DIT,generic,7226112,35304812,36.777,4.886,5.083e-14
13860,256,12x11x7x5x3/DIT,generic,7118412,26504750,34.290,3.723,2.629e-14
14641,256,11x11x11x11/DIT,generic,6558575,30635125,39.540,4.671,2.245e-14
15625,256,5x5x5x5x5x5/DIT,generic,11165550,34214525,24.955,3.064,5.942e-14
16384,256,4x4x4x4x64/DIT,generic,9262825,26524675,31.697,2.864,2.338e-14
16807,256,7x7x7x7x7/DIT,generic,9668488,35186113,31.233,3.639,2.886e-14
20000,256,32x5x5x25/DIT,generic,10818575,40993875,33.809,3.789,4.195e-14
28561,256,13x13x13x13/DIT,generic,17872388,73685175,30.277,4.123,3.960e-14
30030,256,10x11x7x13x3/DIT,generic,20536388,70756950,27.840,3.445,3.454e-14
32768,256,4x16x16x32/DIT,generic,18008813,65047150,34.935,3.612,2.480e-14
50000,256,5x2x10x20x25/DIT,generic,36168287,132868300,27.621,3.674,5.716e-14
60060,256,12x13x11x5x7/DIT,generic,44297575,173168800,27.549,3.909,3.502e-14
65536,256,4x4x8x16x32/DIT,generic,49178450,159812600,27.292,3.250,2.561e-14
128,1024,2x4x4x4/DIT,generic,61807,328613,74.224,5.317,6.331e-16
