N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,7,rfft,natural,5.6e-13,1040,877,0.843
256,8,rfft,natural,9.3e-13,964,1001,1.038
256,15,rfft,natural,5.6e-13,2178,1958,0.899
256,16,rfft,natural,6.7e-13,1824,2209,1.211
256,17,rfft,natural,5.7e-13,2696,2215,0.821
512,7,rfft,natural,2.0e-12,3001,2150,0.716
512,8,rfft,natural,1.7e-12,2105,2452,1.165
512,15,rfft,natural,1.6e-12,5368,4932,0.919
512,16,rfft,natural,2.0e-12,6242,5355,0.858
512,17,rfft,natural,2.4e-12,5855,5608,0.958
1024,7,rfft,natural,6.4e-12,5982,5433,0.908
1024,8,rfft,natural,7.8e-12,7133,6260,0.878
1024,15,rfft,natural,6.9e-12,11351,11712,1.032
1024,16,rfft,natural,6.6e-12,15530,12576,0.810
1024,17,rfft,natural,6.0e-12,12626,13094,1.037
