N1,N2,src,order,rt_err,vfft_ns,mkl_ns,speedup
64,64,wis,scrambled,8.3e-15,5402,4591,0.850
128,128,wis,scrambled,9.3e-15,22770,18849,0.828
256,256,wis,scrambled,1.2e-14,105480,79133,0.750
512,512,wis,scrambled,1.4e-14,598762,495675,0.828
