N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,7,rfft,natural,5.6e-13,1363,885,0.650
256,8,rfft,natural,9.3e-13,889,1035,1.165
256,15,rfft,natural,5.7e-13,2482,1959,0.789
256,16,rfft,natural,6.3e-13,2081,2184,1.050
256,17,rfft,natural,5.6e-13,2963,2217,0.748
512,7,rfft,natural,1.9e-12,5903,2193,0.371
512,8,rfft,natural,1.7e-12,2050,2673,1.304
512,15,rfft,natural,1.6e-12,11744,4590,0.391
512,16,rfft,natural,2.0e-12,13853,4657,0.336
512,17,rfft,natural,2.4e-12,13226,5162,0.390
1024,7,rfft,natural,6.4e-12,8486,5449,0.642
1024,8,rfft,natural,7.8e-12,7221,6287,0.871
1024,15,rfft,natural,7.0e-12,17127,11732,0.685
1024,16,rfft,natural,6.4e-12,20294,12621,0.622
1024,17,rfft,natural,5.9e-12,19305,10318,0.534
