N1,N2,src,order,rt_err,vsmkl_elem,vfft_ns,mkl_ns,speedup
64,64,exh,scrambled,4.4e-15,1.7e+00,5352,7628,1.425
128,128,exh,scrambled,1.2e-14,1.3e+00,27320,35961,1.316
256,256,exh,scrambled,1.3e-14,1.4e+00,135983,157610,1.159
512,512,exh,scrambled,1.1e-14,1.4e+00,860400,942187,1.095
