N,K,kind,factorization,gate,order,vfft_ns,mkl_ns,speedup
1024,128,MODEB,4,4,4,4,4,5.0e-16,scrambled,173853,393633,2.264
8,32,LEAF,LEAF,3.2e-15,natural,45,484,10.780
16,32,BAILEY2,4x4,1.4e-16,natural,112,666,5.965
32,32,BAILEY2,4x8,3.4e-15,natural,300,1323,4.413
64,32,BAILEY2,8x8,6.4e-15,natural,1257,3147,2.503
128,32,BAILEY2,4x32,7.9e-15,natural,2889,6394,2.213
256,32,BAILEY2,4x64,9.3e-15,natural,6221,12852,2.066
512,32,BAILEY2,8x64,1.2e-14,natural,17245,27670,1.604
1024,32,MODEB,4,4,8,8,8.5e-15,scrambled,38489,59616,1.549
2048,32,MODEB,8,4,8,8,1.1e-14,scrambled,110970,162180,1.461
4096,32,MODEB,4,4,4,8,8,8.2e-15,scrambled,220793,358713,1.625
8192,32,MODEB,4,4,4,4,32,8.9e-15,scrambled,552188,898800,1.628
16384,32,MODEB,4,4,4,4,64,1.4e-14,scrambled,1272537,1936337,1.522
32768,32,MODEB,4,4,4,4,2,16,4,4.9e-15,scrambled,3504788,5315325,1.517
65536,32,MODEB,4,4,4,4,4,4,16,5.4e-15,scrambled,9520100,12999350,1.365
131072,32,MODEB,16,4,4,4,4,32,1.2e-14,scrambled,22340313,31912975,1.428
8,256,MODEB,8,3.6e-15,scrambled,587,3329,5.671
16,256,BAILEY2,4x4,2.2e-16,natural,1882,5473,2.909
32,256,MODEB,4,8,4.4e-15,scrambled,5072,12210,2.407
64,256,MODEB,4,4,4,2.8e-16,scrambled,11383,24029,2.111
128,256,MODEB,4,4,8,4.8e-15,scrambled,25684,52421,2.041
256,256,MODEB,4,4,16,4.4e-15,scrambled,56443,117920,2.089
512,256,MODEB,4,4,4,8,4.8e-15,scrambled,158927,355400,2.236
1024,256,MODEB,4,4,4,4,4,5.0e-16,scrambled,461525,724200,1.569
2048,256,MODEB,4,4,4,4,8,5.1e-15,scrambled,959875,1926063,2.007
4096,256,MODEB,4,4,4,64,1.3e-14,scrambled,2740400,5209963,1.901
8192,256,MODEB,4,4,4,4,32,9.9e-15,scrambled,6937700,10884588,1.569
16384,256,MODEB,4,4,4,4,64,1.6e-14,scrambled,17860538,26873863,1.505
32768,256,MODEB,4,16,16,32,1.6e-14,scrambled,39880050,55313113,1.387
65536,256,MODEB,4,4,8,16,32,1.7e-14,scrambled,90443063,126997138,1.404
128,1024,MODEB,2,4,4,4,3.9e-16,scrambled,148400,365747,2.465
