N1,N2,src,order,rt_err,vfft_ns,mkl_ns,speedup
64,64,wis,scrambled,8.3e-15,5222,4542,0.870
128,128,wis,scrambled,9.3e-15,22437,19303,0.860
256,256,wis,scrambled,1.4e-14,119817,78160,0.652
512,512,wis,scrambled,1.4e-14,572225,474875,0.830
