N,K,path,order,ref_err,vfft_ns,mkl_ns,speedup
256,7,rfft,natural,5.6e-13,1048,874,0.834
256,8,rfft,natural,9.2e-13,1105,1030,0.932
256,15,rfft,natural,5.6e-13,2542,1961,0.772
256,16,rfft,natural,6.7e-13,1972,2211,1.122
256,17,rfft,natural,5.7e-13,2535,2212,0.873
512,7,rfft,natural,2.0e-12,2849,2066,0.725
512,8,rfft,natural,1.7e-12,2318,2481,1.070
512,15,rfft,natural,1.7e-12,5522,4875,0.883
512,16,rfft,natural,2.0e-12,6189,5370,0.868
512,17,rfft,natural,2.4e-12,6166,5483,0.889
1024,7,rfft,natural,6.3e-12,6456,5430,0.841
1024,8,rfft,natural,7.8e-12,7475,6266,0.838
1024,15,rfft,natural,6.9e-12,11868,11686,0.985
1024,16,rfft,natural,6.5e-12,15234,12520,0.822
1024,17,rfft,natural,6.0e-12,13246,13112,0.990
