N1,N2,src,rt_err,vfft_ns,mkl_ns,speedup
64,64,wis,1.1e-14,4694,3812,0.812
128,128,wis,9.3e-15,20183,19112,0.947
256,256,wis,1.5e-14,110083,79040,0.718
512,512,wis,1.5e-14,503200,479175,0.952
