N1,N2,src,order,rt_err,vsmkl_elem,vfft_ns,mkl_ns,speedup
64,64,exh,scrambled,1.1e-14,1.6e+00,5203,7625,1.465
128,128,wis,scrambled,9.5e-15,1.5e+00,24457,36593,1.496
256,256,wis,scrambled,7.4e-15,1.2e+00,117793,150513,1.278
512,512,wis,scrambled,1.1e-14,1.5e+00,766100,1243763,1.623
