N1,N2,order,rt_err,vfft_ns,mkl_ns,speedup
64,64,scrambled,1.5e-14,7020,34017960,4845.665
128,128,scrambled,1.4e-14,24798,29762561,1200.222
256,256,scrambled,1.5e-14,76807,31682410,412.496
512,512,scrambled,1.8e-14,419675,29342950,69.918
