N1,N2,src,rt_err,vfft_ns,mkl_ns,speedup
64,64,wis,1.1e-14,4634,3899,0.841
128,128,wis,9.3e-15,20273,19143,0.944
256,256,wis,1.5e-14,101540,79563,0.784
512,512,wis,1.5e-14,488150,484987,0.994
