N1,N2,src,rt_err,vfft_ns,mkl_ns,speedup
64,64,wis,1.1e-14,5955,31333932,5261.858
128,128,wis,9.3e-15,21895,29481962,1346.511
256,256,wis,1.5e-14,66650,29026167,435.501
512,512,wis,1.5e-14,321137,30208650,94.068
