# performance corpus for the refactor, derived from BANKED data.
# target_ns = min(csv, store); a cell qualifies only when the two
# independent saved latencies corroborate within 10%.
# Method: N>=10 paced runs, take the MINIMUM, pass within 10%.
# Noise is one-sided, so the minimum is the robust estimator.
#
# N        K     target_ns    chain                dif  rt_err
117649    32    12845330     7.7.7.7.7.7          0    3.466e-14
131072    4     1580525      4.4.4.4.8.4.4.4      0    8.350e-15
131072    32    18958040     16.4.4.4.4.32        0    1.808e-14
161051    32    18712515     11.11.11.11.11       0    2.668e-14
390625    4     4487088      25.25.25.25          0    7.069e-14
390625    32    40660695     25.25.25.25          0    6.825e-14
#
# EXCLUDED - the two saved latencies disagree, so no trustworthy target.
# Same cell, same plan, different measurement regime.
# excl N=60060    K=256   csv=52938987    store=155804955   2.94x  12.13.11.5.7
# excl N=50000    K=256   csv=62657825    store=145310815   2.32x  5.2.10.20.25
# excl N=65536    K=256   csv=76786238    store=168769550   2.20x  4.4.8.16.32
# excl N=400      K=256   csv=122811      store=61340       2.00x  16.5.5
# excl N=256      K=256   csv=73730       store=40900       1.80x  4.4.16
# excl N=16384    K=4     csv=168517      store=103970      1.62x  8.8.16.16
# excl N=2401     K=4     csv=21113       store=13839       1.53x  7.7.7.7
# excl N=6615     K=4     csv=47157       store=66322       1.41x  5.7.7.3.3.3
# excl N=640      K=4     csv=2029        store=2791        1.38x  8.10.8
# excl N=126      K=4     csv=587         store=430         1.36x  3.6.7
# excl N=16       K=32    csv=82          store=112         1.36x  16
# excl N=544      K=4     csv=2104        store=2806        1.33x  17.4.8
# excl N=95       K=32    csv=2900        store=2277        1.27x  5.19
# excl N=2048     K=32    csv=69307       store=54570       1.27x  8.4.8.8
# excl N=1000     K=32    csv=31298       store=24842       1.26x  5.8.5.5
# excl N=65536    K=32    csv=8399213     store=6758030     1.24x  4.4.4.4.4.4.16
# excl N=60060    K=4     csv=532288      store=657325      1.23x  12.11.13.5.7
# excl N=1331     K=256   csv=489713      store=600105      1.23x  11.11.11
# excl N=64       K=32    csv=734         store=600         1.22x  8.8
# excl N=400      K=4     csv=1160        store=1419        1.22x  25.16
# excl N=6930     K=256   csv=4369412     store=3580025     1.22x  10.11.7.3.3
# excl N=161051   K=4     csv=1531688     store=1861825     1.22x  11.11.11.11.11
# excl N=4620     K=4     csv=33954       store=28094       1.21x  5.11.12.7
# excl N=1024     K=4     csv=3318        store=3955        1.19x  64.16
# excl N=243      K=4     csv=1289        store=1529        1.19x  3.3.3.3.3
# excl N=60       K=256   csv=8902        store=7523        1.18x  12.5
# excl N=250      K=256   csv=45706       store=38750       1.18x  10.5.5
# excl N=340      K=4     csv=1413        store=1666        1.18x  17.20
# excl N=119      K=256   csv=30725       store=26409       1.16x  17.7
# excl N=8        K=4     csv=6           store=7           1.16x  8
