N1,N2,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
2,2,z:il2d,nat-oop,14,13,2.939,0.924,1.390e-16,chain+rb,0
2,2,z:il2d,nat-oop,14,13,2.934,0.919,1.390e-16,chain+rb,1
2,4,z:il2d,nat-oop,15,157,7.866,10.294,1.663e-16,chain+rb,0
2,4,z:il2d,nat-oop,15,157,7.844,10.270,1.663e-16,chain+rb,1
2,8,z:il2d,nat-oop,19,168,16.550,8.664,1.913e-16,chain+rb,0
2,8,z:il2d,nat-oop,19,167,16.561,8.660,1.913e-16,chain+rb,1
2,16,z:il2d,nat-oop,30,205,26.411,6.779,1.991e-16,chain+rb2,0
2,16,z:il2d,nat-oop,30,205,26.418,6.764,1.991e-16,chain+rb2,1
2,32,z:il2d,nat-oop,45,305,42.658,6.779,2.012e-16,chain+rb2,0
2,32,z:il2d,nat-oop,45,306,42.685,6.796,2.012e-16,chain+rb2,1
2,64,z:il2d,nat-oop,84,468,53.307,5.565,2.222e-16,chain+rb2,0
2,64,z:il2d,nat-oop,84,467,53.221,5.553,2.222e-16,chain+rb2,1
2,128,z:il2d,nat-oop,167,830,61.204,4.963,3.653e-16,chain,0
2,128,z:il2d,nat-oop,164,830,62.310,5.048,3.653e-16,chain,1
2,256,z:il2d,nat-oop,325,1535,70.845,4.719,3.866e-16,chain,0
2,256,z:il2d,nat-oop,325,1534,70.918,4.722,3.866e-16,chain,1
2,512,z:il2d,nat-oop,987,2965,51.854,3.003,4.524e-16,chain,0
2,512,z:il2d,nat-oop,1104,2966,46.379,2.686,4.524e-16,chain,1
2,1024,z:il2d,nat-oop,2286,6043,49.266,2.643,3.978e-16,chain,0
2,1024,z:il2d,nat-oop,2293,6041,49.134,2.635,3.978e-16,chain,1
2,2048,z:il2d,nat-oop,5194,12306,47.316,2.369,2.666e-16,chain,0
2,2048,z:il2d,nat-oop,5193,12277,47.321,2.364,2.666e-16,chain,1
2,4096,z:il2d,nat-oop,10784,25115,49.379,2.329,3.243e-16,chain,0
2,4096,z:il2d,nat-oop,10817,25174,49.225,2.327,3.243e-16,chain,1
2,8192,z:il2d,nat-oop,22522,51503,50.922,2.287,3.353e-16,chain,0
2,8192,z:il2d,nat-oop,22715,51551,50.491,2.269,3.353e-16,chain,1
4,2,z:il2d,nat-oop,15,155,7.976,10.276,8.909e-17,chain+rb,0
4,2,z:il2d,nat-oop,15,155,7.985,10.315,8.909e-17,chain+rb,1
4,4,z:il2d,nat-oop,18,19,17.596,1.018,1.990e-16,chain+rb,0
4,4,z:il2d,nat-oop,18,19,17.602,1.018,1.990e-16,chain+rb,1
4,8,z:il2d,nat-oop,25,175,31.869,6.971,1.683e-16,chain+rb,0
4,8,z:il2d,nat-oop,25,175,31.584,6.923,1.683e-16,chain+rb,1
4,16,z:il2d,nat-oop,43,213,44.522,4.929,2.804e-16,chain+rb2,0
4,16,z:il2d,nat-oop,43,212,45.028,4.978,2.804e-16,chain+rb2,1
4,32,z:il2d,nat-oop,75,317,59.591,4.216,1.653e-16,chain+rb2,0
4,32,z:il2d,nat-oop,75,317,59.504,4.216,1.653e-16,chain+rb2,1
4,64,z:il2d,nat-oop,155,505,66.147,3.265,2.879e-16,chain+rb2,0
4,64,z:il2d,nat-oop,155,505,65.896,3.247,2.879e-16,chain+rb2,1
4,128,z:il2d,nat-oop,331,949,69.652,2.867,3.727e-16,chain,0
4,128,z:il2d,nat-oop,334,949,68.947,2.840,3.727e-16,chain,1
4,256,z:il2d,nat-oop,704,1799,72.696,2.555,3.702e-16,chain,0
4,256,z:il2d,nat-oop,694,1800,73.808,2.595,3.702e-16,chain,1
4,512,z:il2d,nat-oop,2077,3634,54.220,1.749,4.579e-16,chain,0
4,512,z:il2d,nat-oop,2074,3616,54.311,1.743,4.579e-16,chain,1
4,1024,z:il2d,nat-oop,4452,7500,55.199,1.685,3.701e-16,chain,0
4,1024,z:il2d,nat-oop,4441,7482,55.334,1.685,3.701e-16,chain,1
4,2048,z:il2d,nat-oop,9817,15437,54.239,1.572,3.554e-16,chain,0
4,2048,z:il2d,nat-oop,10018,15464,53.150,1.544,3.554e-16,chain,1
4,4096,z:il2d,nat-oop,21353,32067,53.710,1.502,3.149e-16,chain,0
4,4096,z:il2d,nat-oop,21391,32034,53.615,1.498,3.149e-16,chain,1
4,8192,z:il2d,nat-oop,44252,67016,55.536,1.514,3.610e-16,chain,0
4,8192,z:il2d,nat-oop,44554,67044,55.160,1.505,3.610e-16,chain,1
8,2,z:il2d,nat-oop,19,167,16.775,8.739,1.200e-16,chain+rb,0
8,2,z:il2d,nat-oop,19,166,16.592,8.632,1.200e-16,chain+rb,1
8,4,z:il2d,nat-oop,28,179,28.822,6.464,1.597e-16,chain+rb,0
8,4,z:il2d,nat-oop,24,180,32.674,7.340,1.597e-16,chain+rb,1
8,8,z:il2d,nat-oop,39,36,49.607,0.942,1.474e-16,chain+rb,0
8,8,z:il2d,nat-oop,39,36,49.707,0.944,1.474e-16,chain+rb,1
8,16,z:il2d,nat-oop,75,247,59.704,3.295,2.816e-16,chain+rb2,0
8,16,z:il2d,nat-oop,76,246,59.281,3.259,2.816e-16,chain+rb2,1
8,32,z:il2d,nat-oop,147,407,69.560,2.762,2.632e-16,chain+rb2,0
8,32,z:il2d,nat-oop,147,405,69.578,2.755,2.632e-16,chain+rb2,1
8,64,z:il2d,nat-oop,321,689,71.664,2.144,2.937e-16,chain+rb2,0
8,64,z:il2d,nat-oop,322,689,71.613,2.140,2.937e-16,chain+rb2,1
8,128,z:il2d,nat-oop,713,1405,71.766,1.969,3.338e-16,chain,0
8,128,z:il2d,nat-oop,724,1402,70.704,1.936,3.338e-16,chain,1
8,256,z:il2d,nat-oop,1961,2874,57.450,1.466,3.507e-16,chain,0
8,256,z:il2d,nat-oop,1948,2849,57.810,1.462,3.507e-16,chain,1
