N,K,orient,factors,vfft_ns,mkl_ns,ratio_mkl_over_vfft,vfft_gflops,mkl_gflops
8,4,DIT,8,10.9,100.5,9.1917,43.90,4.78
16,4,DIT,16,25.4,133.0,5.2397,50.43,9.63
32,4,DIT,8x4,77.2,193.7,2.5079,41.44,16.52
64,4,DIT,8x8,160.6,330.2,2.0568,47.83,23.26
128,4,DIT,8x4x4,465.5,672.9,1.4455,38.50,26.63
256,4,DIT,8x4x8,952.1,1227.7,1.2894,43.02,33.36
512,4,DIT,8x8x8,1998.9,3258.7,1.6303,46.11,28.28
1024,4,DIT,8x4x8x4,5556.8,7537.5,1.3565,36.86,27.17
131072,4,DIT,16x16x8x8x8,2038055.0,2179140.0,1.0692,21.87,20.45
