
=== Phase 2: Performance → vfft_perf_1d.csv ===

Verifying wisdom → plan factorizations:
  N=78125  K=256   wis=5x5x5x5x5x25  plan=5x5x5x5x5x25  OK
  N=117649 K=4     wis=7x7x7x7x7x7  plan=7x7x7x7x7x7  OK
  N=117649 K=32    wis=7x7x7x7x7x7  plan=7x7x7x7x7x7  OK
  N=117649 K=256   wis=7x7x7x7x7x7  plan=7x7x7x7x7x7  OK
  N=390625 K=4     wis=25x25x25x25  plan=25x25x25x25  OK
  N=390625 K=32    wis=25x25x25x25  plan=25x25x25x25  OK
  N=390625 K=256   wis=5x5x5x5x5x5x25  plan=5x5x5x5x5x5x25  OK
  N=823543 K=4     wis=7x7x7x7x7x7x7  plan=7x7x7x7x7x7x7  OK
  N=823543 K=32    wis=7x7x7x7x7x7x7  plan=7x7x7x7x7x7x7  OK
  N=823543 K=256   wis=7x7x7x7x7x7x7  plan=7x7x7x7x7x7x7  OK
  N=1331   K=4     wis=11x11x11  plan=11x11x11  OK
  N=1331   K=32    wis=11x11x11  plan=11x11x11  OK
  N=1331   K=256   wis=11x11x11  plan=11x11x11  OK
  N=14641  K=4     wis=11x11x11x11  plan=11x11x11x11  OK
  N=14641  K=32    wis=11x11x11x11  plan=11x11x11x11  OK
  N=14641  K=256   wis=11x11x11x11  plan=11x11x11x11  OK
  N=161051 K=4     wis=11x11x11x11x11  plan=11x11x11x11x11  OK
  N=161051 K=32    wis=11x11x11x11x11  plan=11x11x11x11x11  OK
  N=161051 K=256   wis=11x11x11x11x11  plan=11x11x11x11x11  OK
  N=2197   K=4     wis=13x13x13  plan=13x13x13  OK
  N=2197   K=32    wis=13x13x13  plan=13x13x13  OK
  N=2197   K=256   wis=13x13x13  plan=13x13x13  OK
  N=28561  K=4     wis=13x13x13x13  plan=13x13x13x13  OK
  N=28561  K=32    wis=13x13x13x13  plan=13x13x13x13  OK
  N=28561  K=256   wis=13x13x13x13  plan=13x13x13x13  OK
  N=175    K=4     wis=7x25  plan=7x25  OK
  N=175    K=32    wis=7x25  plan=7x25  OK
  N=175    K=256   wis=7x5x5  plan=7x5x5  OK
  N=525    K=4     wis=3x7x25  plan=3x7x25  OK
  N=525    K=32    wis=7x5x3x5  plan=7x5x3x5  OK
  N=525    K=256   wis=7x3x5x5  plan=7x3x5x5  OK
  N=1225   K=4     wis=7x7x25  plan=7x7x25  OK
  N=1225   K=32    wis=7x5x5x7  plan=7x5x5x7  OK
  N=1225   K=256   wis=7x5x5x7  plan=7x5x5x7  OK
  N=2205   K=4     wis=3x3x5x7x7  plan=3x3x5x7x7  OK
  N=2205   K=32    wis=5x7x7x3x3  plan=5x7x7x3x3  OK
  N=2205   K=256   wis=7x3x7x3x5  plan=7x3x7x3x5  OK
  N=6615   K=4     wis=3x3x3x5x7x7  plan=3x3x3x5x7x7  OK
  N=6615   K=32    wis=5x3x3x7x3x7  plan=5x3x3x7x3x7  OK
  N=6615   K=256   wis=7x5x3x7x3x3  plan=7x5x3x7x3x3  OK
  N=11025  K=4     wis=3x3x7x7x25  plan=3x3x7x7x25  OK
  N=11025  K=32    wis=25x3x3x7x7  plan=25x3x3x7x7  OK
  N=11025  K=256   wis=5x3x5x7x7x3  plan=5x3x5x7x7x3  OK
  N=2310   K=4     wis=3x7x10x11  plan=3x7x10x11  OK
  N=2310   K=32    wis=6x7x11x5  plan=6x7x11x5  OK
  N=2310   K=256   wis=10x3x7x11  plan=10x3x7x11  OK
  N=6930   K=4     wis=3x3x11x10x7  plan=3x3x11x10x7  OK
  N=6930   K=32    wis=7x6x3x11x5  plan=7x6x3x11x5  OK
  N=6930   K=256   wis=6x5x7x3x11  plan=6x5x7x3x11  OK
  N=30030  K=4     wis=5x6x11x7x13  plan=5x6x11x7x13  OK
  N=30030  K=32    wis=13x5x6x11x7  plan=13x5x6x11x7  OK
  N=30030  K=256   wis=6x11x5x7x13  plan=6x11x5x7x13  OK
  N=60060  K=4     wis=20x13x3x7x11  plan=20x13x3x7x11  OK
  N=60060  K=32    wis=12x11x5x7x13  plan=12x11x5x7x13  OK
  N=60060  K=256   wis=12x5x11x7x13  plan=12x5x11x7x13  OK
  N=4620   K=4     wis=5x12x7x11  plan=5x12x7x11  OK
  N=4620   K=32    wis=12x7x11x5  plan=12x7x11x5  OK
  N=4620   K=256   wis=12x7x5x11  plan=12x7x5x11  OK
  N=13860  K=4     wis=3x5x12x7x11  plan=3x5x12x7x11  OK
  N=13860  K=32    wis=11x5x6x6x7  plan=11x5x6x6x7  OK
  N=13860  K=256   wis=12x5x11x7x3  plan=12x5x11x7x3  OK

Benchmarking...

N        K     category     factors             vfft_ns     mkl_ns  vfft_GF   mkl_GF   ratio
--------+-----+------------+----------------+----------+----------+--------+--------+-------
8        4     small        8                       10        96   49.12    5.01   9.81x
8        32    small        8                       41       333   92.80   11.52   8.05x
8        256   small        8                      298      2303  102.93   13.34   7.72x
16       4     small        16                      16       124   79.68   10.33   7.71x
16       32    small        16                     100       531  102.51   19.29   5.31x
16       256   small        16                     857      4766   95.57   17.19   5.56x
32       4     small        32                      36       191   89.65   16.75   5.35x
32       32    small        32                     250      1047  102.49   24.44   4.19x
32       256   small        4x8                   3828     11116   53.50   18.42   2.90x
64       4     small        64                      94       312   81.60   24.61   3.32x
64       32    small        64                     637      2104   96.45   29.20   3.30x
64       256   small        8x8                  11918     22862   41.24   21.50   1.92x
128      4     small        8x16                   303       690   59.24   25.99   2.28x
128      32    small        32x4                  2357      5754   60.83   24.92   2.44x
128      256   small        8x4x4                23236     49348   49.36   23.24   2.12x
256      4     pow2         16x16                  625      1205   65.55   34.00   1.93x
256      32    pow2         4x8x8                 6762     12197   48.46   26.87   1.80x
