timestamp,N,K,wis_factors,wis_ns,heur_factors,heur_ns,fftw_ns,wis_speedup,heur_speedup
2026-04-05_01:44:12,200,256,8x5x5,31735.0,,,105980.0,111185.0,3.34,3.50
2026-04-05_01:44:12,200,1024,2x5x5x2x2,389640.0,,,658040.0,573250.0,1.69,1.47
2026-04-05_01:44:12,1000,32,10x5x4x5,30809.7,,,78603.2,79274.2,2.55,2.57
2026-04-05_01:44:12,1000,256,8x5x5x5,381185.0,,,951840.0,988415.0,2.50,2.59
2026-04-05_01:44:12,1000,1024,5x2x5x4x5,2457065.0,,,4234855.0,4517315.0,1.72,1.84
2026-04-05_01:44:12,5000,32,8x25x25,339970.0,,,1237035.0,607940.0,3.64,1.79
2026-04-05_01:44:12,5000,256,2x4x5x5x25,4917705.0,,,14059690.0,5850775.0,2.86,1.19
2026-04-05_01:44:12,5000,1024,2x2x2x5x5x25,25933890.0,,,83892045.0,42380875.0,3.23,1.63
2026-04-05_01:44:12,10000,32,16x25x25,665440.0,,,4377045.0,1385330.0,6.58,2.08
2026-04-05_01:44:12,10000,256,4x4x5x5x25,11904645.0,,,52622670.0,12874275.0,4.42,1.08
2026-04-05_01:44:12,10000,1024,2x2x2x2x5x5x25,53292330.0,,,277499000.0,76455520.0,5.21,1.43
2026-04-05_01:44:12,20000,32,25x25x32,2406865.0,,,8025035.0,2846825.0,3.33,1.18
2026-04-05_01:44:12,20000,256,2x4x4x5x5x25,23834310.0,,,134732755.0,31515990.0,5.65,1.32
2026-04-05_01:44:12,50000,32,4x20x25x25,5814200.0,,,33305770.0,8217620.0,5.73,1.41
