N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
36,1,z:ilp,nat-ip,24,41,39.103,1.720,3.939e-16,2p,0
36,1,z:ilp,nat-ip,24,41,39.027,1.718,3.939e-16,2p,1
37,1,z:ilp,nat-ip,96,184,10.088,1.924,7.209e-16,prime,0
37,1,z:ilp,nat-ip,96,184,10.018,1.912,7.209e-16,prime,1
38,1,z:ilp,nat-ip,66,87,15.204,1.326,7.867e-16,flat,0
38,1,z:ilp,nat-ip,61,87,16.414,1.437,7.867e-16,flat,1
39,1,z:ilp,nat-ip,38,44,27.147,1.155,9.559e-16,2p,0
39,1,z:ilp,nat-ip,36,44,28.612,1.208,9.559e-16,2p,1
40,1,z:ilp,nat-ip,25,40,42.492,1.603,1.440e-16,2p,0
40,1,z:ilp,nat-ip,24,40,43.922,1.650,1.440e-16,2p,1
41,1,z:ilp,nat-ip,93,242,11.797,2.595,3.770e-16,prime,0
41,1,z:ilp,nat-ip,93,241,11.815,2.595,3.770e-16,prime,1
42,1,z:ilp,nat-ip,31,40,37.002,1.322,3.212e-16,2p,0
42,1,z:ilp,nat-ip,30,40,37.910,1.350,3.212e-16,2p,1
43,1,z:ilp,nat-ip,108,263,10.780,2.432,6.224e-16,prime,0
43,1,z:ilp,nat-ip,109,264,10.709,2.424,6.224e-16,prime,1
44,1,z:ilp,nat-ip,32,43,37.316,1.326,7.936e-16,2p,0
44,1,z:ilp,nat-ip,33,43,36.680,1.311,7.936e-16,2p,1
45,1,z:ilp,nat-ip,35,63,35.004,1.774,7.427e-16,2p,0
45,1,z:ilp,nat-ip,35,48,34.952,1.356,7.427e-16,2p,1
46,1,z:ilp,nat-ip,132,120,9.650,0.909,2.153e-15,flat,0
46,1,z:ilp,nat-ip,84,120,15.056,1.421,2.153e-15,flat,1
47,1,z:ilp,nat-ip,198,328,6.604,1.657,6.167e-16,prime,0
47,1,z:ilp,nat-ip,197,327,6.633,1.661,6.167e-16,prime,1
48,1,z:ilp,nat-ip,31,44,43.061,1.401,3.666e-16,2p,0
48,1,z:ilp,nat-ip,30,44,44.181,1.435,3.666e-16,2p,1
49,1,z:ilp,nat-ip,38,46,36.377,1.220,4.807e-16,2p,0
49,1,z:ilp,nat-ip,37,46,37.549,1.259,4.807e-16,2p,1
50,1,z:ilp,nat-ip,36,53,39.197,1.469,3.610e-16,2p,0
50,1,z:ilp,nat-ip,36,53,39.267,1.466,3.610e-16,2p,1
51,1,z:ilp,nat-ip,57,113,25.263,1.980,6.545e-16,2p,0
51,1,z:ilp,nat-ip,58,113,24.801,1.946,6.545e-16,2p,1
52,1,z:ilp,nat-ip,39,50,37.543,1.267,1.145e-15,2p,0
52,1,z:ilp,nat-ip,40,49,36.879,1.228,1.145e-15,2p,1
53,1,z:ilp,nat-ip,132,438,11.523,3.325,1.556e-15,prime,0
53,1,z:ilp,nat-ip,141,437,10.730,3.092,1.556e-15,prime,1
54,1,z:ilp,nat-ip,37,57,41.962,1.547,6.344e-16,2p,0
54,1,z:ilp,nat-ip,37,57,42.263,1.557,6.344e-16,2p,1
55,1,z:ilp,nat-ip,45,54,35.117,1.183,5.932e-16,2p,0
55,1,z:ilp,nat-ip,45,54,35.041,1.180,5.932e-16,2p,1
56,1,z:ilp,nat-ip,36,55,44.903,1.508,2.453e-16,2p,0
56,1,z:ilp,nat-ip,36,54,44.748,1.498,2.453e-16,2p,1
57,1,z:ilp,nat-ip,69,135,24.116,1.957,1.053e-15,2p,0
57,1,z:ilp,nat-ip,80,135,20.680,1.679,1.053e-15,2p,1
58,1,z:ilp,nat-ip,205,184,8.281,0.896,1.042e-15,prime,0
58,1,z:ilp,nat-ip,206,184,8.245,0.893,1.042e-15,prime,1
59,1,z:ilp,nat-ip,205,552,8.455,2.688,5.100e-16,prime,0
59,1,z:ilp,nat-ip,203,552,8.557,2.724,5.100e-16,prime,1
60,1,z:ilp,nat-ip,38,61,46.213,1.580,5.509e-16,2p,0
60,1,z:ilp,nat-ip,38,61,46.272,1.584,5.509e-16,2p,1
61,1,z:ilp,nat-ip,146,601,12.404,4.119,6.148e-16,prime,0
61,1,z:ilp,nat-ip,145,601,12.448,4.134,6.148e-16,prime,1
62,1,z:ilp,nat-ip,204,206,9.049,1.009,4.431e-16,prime,0
62,1,z:ilp,nat-ip,204,206,9.050,1.011,4.431e-16,prime,1
63,1,z:ilp,nat-ip,48,66,39.072,1.378,5.050e-16,2p,0
63,1,z:ilp,nat-ip,48,67,39.611,1.400,5.050e-16,2p,1
64,1,z:ilp,nat-ip,33,30,58.221,0.924,3.061e-16,2p,0
64,1,z:ilp,nat-ip,33,30,57.810,0.916,3.061e-16,2p,1
