N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip,engaged
503,1,z:ilp,nat-oop,2200,2710,10.259,1.232,7.955e-16,prime,1,0
504,1,z:ilp,nat-oop,466,665,48.506,1.425,7.176e-16,chain3,1,0
505,1,z:ilp,nat-oop,2230,2668,10.170,1.197,1.028e-15,prime,1,0
506,1,z:ilp,nat-oop,967,1725,23.503,1.784,1.639e-15,flat,1,0
507,1,z:ilp,nat-oop,624,712,36.493,1.141,8.698e-16,chain3,1,0
508,1,z:ilp,nat-oop,2245,9142,10.171,4.073,1.091e-15,prime,1,0
509,1,z:ilp,nat-oop,2461,2708,9.298,1.100,8.552e-16,prime,1,0
510,1,z:ilp,nat-oop,669,1250,34.307,1.869,1.264e-15,chain3,1,0
511,1,z:ilp,nat-oop,2317,6472,9.919,2.793,9.491e-16,prime,1,0
512,1,z:ilp,nat-oop,304,291,75.706,0.957,3.080e-16,2p,1,0
513,1,z:ilp,nat-oop,646,1461,35.735,2.261,1.003e-15,2p,1,0
514,1,z:ilp,nat-oop,4805,4552,4.817,0.947,1.079e-15,prime,1,0
515,1,z:ilp,nat-oop,4810,4565,4.822,0.949,6.586e-16,prime,1,0
516,1,z:ilp,nat-oop,4866,2759,4.778,0.567,5.312e-16,prime,1,0
517,1,z:ilp,nat-oop,5034,3714,4.629,0.738,6.422e-16,prime,1,0
518,1,z:ilp,nat-oop,4902,2527,4.764,0.515,9.576e-16,prime,1,0
519,1,z:ilp,nat-oop,4891,4728,4.785,0.967,5.228e-16,prime,1,0
520,1,z:ilp,nat-oop,704,762,33.311,1.083,1.250e-15,chain3,1,0
521,1,z:ilp,nat-oop,2108,4610,11.155,2.187,1.497e-15,prime,1,0
522,1,z:ilp,nat-oop,4828,1958,4.880,0.405,8.697e-16,prime,1,0
523,1,z:ilp,nat-oop,5010,4566,4.714,0.911,7.115e-16,prime,1,0
524,1,z:ilp,nat-oop,4991,9773,4.742,1.958,6.639e-16,prime,1,0
525,1,z:ilp,nat-oop,566,716,41.934,1.266,6.428e-16,2p,1,0
526,1,z:ilp,nat-oop,6388,4578,3.721,0.717,9.385e-16,prime,1,0
527,1,z:ilp,nat-oop,4928,2957,4.834,0.600,1.131e-15,prime,1,0
528,1,z:ilp,nat-oop,528,727,45.191,1.375,7.220e-16,chain3,1,0
529,1,z:ilp,nat-oop,1061,2741,22.549,2.583,1.550e-15,2p,1,0
530,1,z:ilp,nat-oop,5417,3958,4.427,0.731,7.165e-16,prime,1,0
531,1,z:ilp,nat-oop,4827,5179,4.979,1.073,7.550e-16,prime,1,0
532,1,z:ilp,nat-oop,778,1428,30.962,1.835,1.082e-15,flat,1,0
533,1,z:ilp,nat-oop,4993,3288,4.834,0.658,9.212e-16,prime,1,0
534,1,z:ilp,nat-oop,4821,6433,5.018,1.334,5.751e-16,prime,1,0
535,1,z:ilp,nat-oop,4946,4578,4.901,0.926,9.017e-16,prime,1,0
536,1,z:ilp,nat-oop,4962,4482,4.896,0.903,6.774e-16,prime,1,0
537,1,z:ilp,nat-oop,4785,4607,5.089,0.963,7.431e-16,prime,1,0
538,1,z:ilp,nat-oop,5046,4621,4.836,0.916,9.585e-16,prime,1,0
539,1,z:ilp,nat-oop,685,719,35.684,1.049,1.049e-15,flat,1,0
540,1,z:ilp,nat-oop,506,752,48.467,1.488,7.583e-16,chain3,1,0
541,1,z:ilp,nat-oop,3819,4594,6.432,1.203,1.763e-15,prime,1,0
542,1,z:ilp,nat-oop,4866,4602,5.058,0.946,1.048e-15,prime,1,0
543,1,z:ilp,nat-oop,4844,4665,5.092,0.963,7.152e-16,prime,1,0
544,1,z:ilp,nat-oop,556,1347,44.454,2.422,1.198e-15,2p,1,0
545,1,z:ilp,nat-oop,5099,4613,4.858,0.905,7.726e-16,prime,1,0
546,1,z:ilp,nat-oop,758,803,32.748,1.059,1.122e-15,chain3,1,0
547,1,z:ilp,nat-oop,3050,4597,8.156,1.507,1.630e-15,prime,1,0
548,1,z:ilp,nat-oop,4942,10928,5.045,2.211,6.348e-16,prime,1,0
549,1,z:ilp,nat-oop,4883,5641,5.116,1.155,8.428e-16,prime,1,0
550,1,z:ilp,nat-oop,727,835,34.436,1.148,7.705e-16,flat,1,0
551,1,z:ilp,nat-oop,4929,3117,5.089,0.632,6.474e-16,prime,1,0
552,1,z:ilp,nat-oop,879,1722,28.585,1.958,1.391e-15,flat,1,0
553,1,z:ilp,nat-oop,4936,7694,5.104,1.559,7.825e-16,prime,1,0
554,1,z:ilp,nat-oop,4871,4639,5.183,0.952,9.913e-16,prime,1,0
555,1,z:ilp,nat-oop,4933,3002,5.128,0.608,8.740e-16,prime,1,0
556,1,z:ilp,nat-oop,5960,11110,4.254,1.864,7.919e-16,prime,1,0
557,1,z:ilp,nat-oop,4985,4622,5.096,0.927,8.227e-16,prime,1,0
558,1,z:ilp,nat-oop,5015,2185,5.077,0.436,9.133e-16,prime,1,0
559,1,z:ilp,nat-oop,4942,3651,5.162,0.739,1.117e-15,prime,1,0
560,1,z:ilp,nat-oop,525,651,48.664,1.240,4.585e-16,chain3,1,0
561,1,z:ilp,nat-oop,1067,1469,24.011,1.377,1.377e-15,flat,1,0
562,1,z:ilp,nat-oop,4809,4610,5.337,0.958,8.090e-16,prime,1,0
563,1,z:ilp,nat-oop,4854,4621,5.299,0.952,1.172e-15,prime,1,0
564,1,z:ilp,nat-oop,4915,3356,5.244,0.683,5.952e-16,prime,1,0
565,1,z:ilp,nat-oop,5081,4614,5.083,0.908,6.429e-16,prime,1,0
566,1,z:ilp,nat-oop,4785,4633,5.408,0.968,9.944e-16,prime,1,0
567,1,z:ilp,nat-oop,604,828,42.956,1.372,7.089e-16,2p,1,0
568,1,z:ilp,nat-oop,4815,5115,5.396,1.062,9.330e-16,prime,1,0
569,1,z:ilp,nat-oop,4861,4828,5.357,0.993,8.345e-16,prime,1,0
570,1,z:ilp,nat-oop,943,1496,27.660,1.586,1.182e-15,flat,1,0
571,1,z:ilp,nat-oop,2672,4607,9.785,1.724,1.405e-15,prime,1,0
572,1,z:ilp,nat-oop,848,859,30.882,1.013,1.056e-15,chain3,1,0
573,1,z:ilp,nat-oop,4927,4644,5.328,0.943,1.025e-15,prime,1,0
574,1,z:ilp,nat-oop,4843,3052,5.432,0.630,8.467e-16,prime,1,0
575,1,z:ilp,nat-oop,971,1864,27.135,1.919,1.634e-15,2p,1,0
576,1,z:ilp,nat-oop,487,708,54.243,1.454,5.679e-16,2p,1,0
577,1,z:ilp,nat-oop,2053,4870,12.887,2.372,1.188e-15,prime,1,0
578,1,z:ilp,nat-oop,1169,2054,22.675,1.757,1.695e-15,flat,1,0
579,1,z:ilp,nat-oop,4997,4760,5.317,0.953,6.982e-16,prime,1,0
580,1,z:ilp,nat-oop,5040,2124,5.282,0.421,5.822e-16,prime,1,0
581,1,z:ilp,nat-oop,4878,8729,5.468,1.789,7.590e-16,prime,1,0
582,1,z:ilp,nat-oop,4777,7771,5.595,1.627,7.648e-16,prime,1,0
583,1,z:ilp,nat-oop,5091,4954,5.261,0.973,7.937e-16,prime,1,0
584,1,z:ilp,nat-oop,4902,5466,5.474,1.115,6.925e-16,prime,1,0
585,1,z:ilp,nat-oop,1118,846,24.047,0.757,9.538e-16,chain3,1,0
586,1,z:ilp,nat-oop,5340,5130,5.045,0.961,9.869e-16,prime,1,0
587,1,z:ilp,nat-oop,4880,4805,5.532,0.985,1.036e-15,prime,1,0
588,1,z:ilp,nat-oop,617,822,43.826,1.332,5.412e-16,flat,1,0
589,1,z:ilp,nat-oop,4927,3485,5.501,0.707,5.849e-16,prime,1,0
590,1,z:ilp,nat-oop,5333,4906,5.092,0.920,8.566e-16,prime,1,0
591,1,z:ilp,nat-oop,4883,4781,5.572,0.979,8.296e-16,prime,1,0
592,1,z:ilp,nat-oop,4913,2376,5.549,0.484,6.467e-16,prime,1,0
593,1,z:ilp,nat-oop,4967,4833,5.499,0.973,8.695e-16,prime,1,0
594,1,z:ilp,nat-oop,1046,893,26.161,0.854,8.501e-16,chain3,1,0
595,1,z:ilp,nat-oop,973,1564,28.182,1.608,1.397e-15,chain3,1,0
596,1,z:ilp,nat-oop,4993,13035,5.502,2.611,8.357e-16,prime,1,0
597,1,z:ilp,nat-oop,5311,4837,5.183,0.911,9.538e-16,prime,1,0
598,1,z:ilp,nat-oop,1597,2083,17.268,1.304,1.688e-15,flat,1,0
599,1,z:ilp,nat-oop,4948,4800,5.585,0.970,8.628e-16,prime,0,0
