library,N,l2_error,max_error,rt_error
MKL,15x128,2.246e-16,2.817e-16,7.789e-16
VectorFFT,15x256,2.830e-16,3.457e-16,9.495e-16
MKL,15x256,2.534e-16,3.178e-16,9.065e-16
VectorFFT,15x512,2.927e-16,3.493e-16,1.329e-15
MKL,15x512,2.750e-16,3.297e-16,1.018e-15
VectorFFT,17x64,3.896e-16,4.087e-16,1.128e-15
MKL,17x64,2.875e-16,3.009e-16,9.744e-16
VectorFFT,17x128,4.077e-16,4.919e-16,1.100e-15
MKL,17x128,2.906e-16,3.385e-16,8.221e-16
VectorFFT,17x256,4.060e-16,4.753e-16,1.217e-15
MKL,17x256,3.045e-16,3.646e-16,9.022e-16
VectorFFT,17x512,4.077e-16,6.487e-16,1.339e-15
MKL,17x512,3.294e-16,3.456e-16,1.148e-15
VectorFFT,19x64,2.934e-16,2.701e-16,7.763e-16
MKL,19x64,3.615e-16,3.774e-16,1.126e-15
VectorFFT,19x128,3.106e-16,3.276e-16,1.039e-15
MKL,19x128,4.081e-16,4.704e-16,1.448e-15
VectorFFT,19x256,3.129e-16,2.953e-16,1.047e-15
MKL,19x256,4.278e-16,4.420e-16,1.490e-15
VectorFFT,19x512,3.257e-16,3.825e-16,1.072e-15
MKL,19x512,4.483e-16,5.438e-16,1.838e-15
VectorFFT,21x64,3.224e-16,3.703e-16,8.692e-16
MKL,21x64,2.013e-16,1.899e-16,7.186e-16
VectorFFT,21x128,3.317e-16,3.809e-16,1.262e-15
MKL,21x128,2.266e-16,2.519e-16,7.953e-16
VectorFFT,21x256,3.380e-16,4.293e-16,1.154e-15
MKL,21x256,2.494e-16,2.885e-16,1.080e-15
VectorFFT,21x512,3.499e-16,4.111e-16,1.297e-15
MKL,21x512,2.763e-16,3.519e-16,1.126e-15
VectorFFT,22x64,2.657e-16,2.736e-16,8.112e-16
MKL,22x64,1.922e-16,1.932e-16,6.356e-16
VectorFFT,22x128,2.765e-16,3.860e-16,9.781e-16
MKL,22x128,1.978e-16,2.232e-16,6.767e-16
VectorFFT,22x256,2.784e-16,3.147e-16,1.031e-15
MKL,22x256,2.090e-16,2.407e-16,6.855e-16
VectorFFT,22x512,2.893e-16,3.102e-16,1.096e-15
MKL,22x512,2.186e-16,2.662e-16,7.832e-16
VectorFFT,23x64,3.553e-16,3.674e-16,1.111e-15
MKL,23x64,7.065e-16,7.489e-16,2.169e-15
VectorFFT,23x128,3.631e-16,4.445e-16,1.348e-15
MKL,23x128,6.672e-16,6.992e-16,2.109e-15
VectorFFT,23x256,3.637e-16,3.886e-16,1.203e-15
MKL,23x256,6.692e-16,8.011e-16,1.857e-15
VectorFFT,23x512,3.770e-16,4.647e-16,1.411e-15
MKL,23x512,6.634e-16,7.352e-16,2.093e-15
VectorFFT,25x64,2.589e-16,2.814e-16,8.270e-16
MKL,25x64,2.095e-16,3.202e-16,6.390e-16
