N,K,plan,path,vfft_ns,mkl_ns,vfft_gflops,ratio_vs_mkl,rt_err,route,flip
8192,1,z:ilp,nat-oop,7950,10624,66.975,1.336,4.111e-16,ztt,0
8192,1,z:ilp,nat-oop,7955,10595,66.934,1.332,4.111e-16,ztt,1
