2048,1,z:4x4x4x4x8/R1,zturn,2181,2192,51.657,1.005,6.501e-16
2048,1,z:4x4x4x4x8/R1,zturn,2172,2181,51.862,1.004,6.501e-16
2048,1,z:4x4x4x4x8/R1,zturn,2169,2172,51.935,1.001,6.501e-16
4096,1,z:4x4x4x4x4x4/R1,zturn,4996,3947,49.190,0.790,7.316e-16
4096,1,z:4x4x4x4x4x4/R1,zturn,4865,3982,50.514,0.818,7.316e-16
4096,1,z:4x4x4x4x4x4/R1,zturn,4918,3972,49.973,0.808,7.316e-16
8192,1,z:4x4x4x4x4x8/R1,zturn,11250,8843,47.330,0.786,7.536e-16
8192,1,z:4x4x4x4x4x8/R1,zturn,10895,8754,48.872,0.803,7.536e-16
8192,1,z:4x4x4x4x4x8/R1,zturn,10947,8673,48.641,0.792,7.536e-16
16384,1,z:4x8x4x4x4x8/R1,zturn,22285,18867,51.464,0.847,8.157e-16
16384,1,z:4x8x4x4x4x8/R1,zturn,22231,18975,51.589,0.854,8.157e-16
16384,1,z:4x8x4x4x4x8/R1,zturn,22275,18943,51.488,0.850,8.157e-16
32768,1,z:4x8x4x4x4x4x4/R1,zturn,49295,39010,49.855,0.791,7.195e-16
32768,1,z:4x8x4x4x4x4x4/R1,zturn,42228,37998,58.199,0.900,7.195e-16
32768,1,z:4x8x4x4x4x4x4/R1,zturn,39339,39774,62.472,1.011,7.195e-16
