2048,1,z:4x8x4x4x4/R1,zturn,1775,2387,63.452,1.345,8.331e-16
2048,1,z:4x8x4x4x4/R1,zturn,1826,2188,61.676,1.198,8.331e-16
2048,1,z:4x8x4x4x4/R1,zturn,1894,2312,59.486,1.221,8.331e-16
4096,1,z:4x4x4x4x4x4/R1,zturn,3916,3972,62.752,1.014,8.605e-16
4096,1,z:4x4x4x4x4x4/R1,zturn,3914,3967,62.788,1.013,8.605e-16
4096,1,z:4x4x4x4x4x4/R1,zturn,3898,3964,63.045,1.017,8.605e-16
8192,1,z:4x4x8x4x4x4/R1,zturn,8192,8740,64.998,1.067,8.882e-16
8192,1,z:4x4x8x4x4x4/R1,zturn,8170,8749,65.174,1.071,8.882e-16
8192,1,z:4x4x8x4x4x4/R1,zturn,8237,8757,64.646,1.063,8.882e-16
16384,1,z:4x4x4x4x4x4x4/R1,zturn,17675,19207,64.886,1.087,9.992e-16
16384,1,z:4x4x4x4x4x4x4/R1,zturn,17782,18865,64.497,1.061,9.992e-16
16384,1,z:4x4x4x4x4x4x4/R1,zturn,17679,18899,64.874,1.069,9.992e-16
32768,1,z:4x8x4x4x4x4x4/R1,zturn,37911,39080,64.825,1.031,9.992e-16
32768,1,z:4x8x4x4x4x4x4/R1,zturn,38193,37769,64.346,0.989,9.992e-16
32768,1,z:4x8x4x4x4x4x4/R1,zturn,37895,37784,64.853,0.997,9.992e-16
