N,K,category,factors,vfft_ns,mkl_ns,vfft_gflops,mkl_gflops,ratio_vs_mkl
16807,32,prime_pow,7x7x7x7x7,993625,2794185,37.989,13.509,2.812
16807,256,prime_pow,7x7x7x7x7,12482940,31671225,24.191,9.535,2.537
78125,4,prime_pow,25x5x25x25,632590,1554220,40.146,16.340,2.457
78125,32,prime_pow,25x25x5x25,6677520,18283980,30.426,11.112,2.738
78125,256,prime_pow,5x5x5x25x5x5,87809570,174938975,18.510,9.291,1.992
117649,4,prime_pow,7x7x7x7x7x7,1394660,2575715,28.418,15.388,1.847
117649,32,prime_pow,7x7x7x7x7x7,13768095,31996280,23.029,9.910,2.324
117649,256,prime_pow,7x7x7x7x7x7,116416405,289580135,21.789,8.759,2.487
390625,4,prime_pow,25x25x25x25,3741395,13963955,38.788,10.393,3.732
390625,32,prime_pow,25x25x25x25,40813830,141859815,28.445,8.184,3.476
823543,4,prime_pow,7x7x7x7x7x7x7,15870810,34610025,20.394,9.352,2.181
823543,32,prime_pow,7x7x7x7x7x7x7,127983985,338948400,20.232,7.640,2.648
1331,4,genfft,11x11x11,8052,17819,34.310,15.504,2.213
1331,32,genfft,11x11x11,46939,138761,47.086,15.928,2.956
1331,256,genfft,11x11x11,575610,1430245,30.717,12.362,2.485
14641,4,genfft,11x11x11x11,126029,257271,32.151,15.750,2.041
14641,32,genfft,11x11x11x11,866245,2469810,37.421,13.125,2.851
14641,256,genfft,11x11x11x11,10549880,27283700,24.581,9.505,2.586
161051,4,genfft,11x11x11x11x11,1933690,4276775,28.813,13.027,2.212
161051,32,genfft,11x11x11x11x11,18163025,51946275,24.540,8.580,2.860
2197,4,genfft,13x13x13,15007,31574,32.505,15.449,2.104
2197,32,genfft,13x13x13,102257,262839,38.162,14.847,2.570
2197,256,genfft,13x13x13,1730820,2489235,18.037,12.541,1.438
28561,4,genfft,13x13x13x13,280815,539165,30.109,15.682,1.920
28561,32,genfft,13x13x13x13,1974505,5170525,34.257,13.082,2.619
28561,256,genfft,13x13x13x13,32058320,59194735,16.879,9.141,1.846
175,4,odd_comp,7x25,527,1550,49.487,16.822,2.942
175,32,odd_comp,7x5x5,3787,13554,55.090,15.393,3.579
175,256,odd_comp,5x5x7,28482,121180,58.601,13.774,4.255
525,4,odd_comp,25x7x3,2263,6157,41.931,15.409,2.721
525,32,odd_comp,7x3x5x5,14413,48204,52.665,15.746,3.345
525,256,odd_comp,5x3x5x7,112205,465585,54.118,13.042,4.149
1225,4,odd_comp,25x7x7,5877,15795,42.763,15.913,2.687
1225,32,odd_comp,7x5x5x7,38459,124837,52.281,16.106,3.246
1225,256,odd_comp,5x7x5x7,390985,1229590,41.141,13.082,3.145
2205,4,odd_comp,3x3x7x7x5,16565,31660,29.569,15.471,1.911
2205,32,odd_comp,7x3x7x3x5,79432,246768,49.330,15.879,3.107
