2048,1,z:4x8x4x4x4/R1,zturn,1964,2178,57.366,1.109,6.884e-16
2048,1,z:4x8x4x4x4/R1,zturn,2001,2019,56.300,1.009,6.884e-16
2048,1,z:4x8x4x4x4/R1,zturn,1871,2241,60.213,1.198,6.884e-16
4096,1,z:4x4x4x4x4x4/R1,zturn,4048,3962,60.706,0.979,7.316e-16
4096,1,z:4x4x4x4x4x4/R1,zturn,4083,4211,60.188,1.031,7.316e-16
4096,1,z:4x4x4x4x4x4/R1,zturn,4060,3950,60.528,0.973,7.316e-16
8192,1,z:4x4x8x4x4x4/R1,zturn,8884,8746,59.934,0.984,6.166e-16
8192,1,z:4x4x8x4x4x4/R1,zturn,8627,8718,61.722,1.011,6.166e-16
8192,1,z:4x4x8x4x4x4/R1,zturn,8734,9287,60.966,1.063,6.166e-16
16384,1,z:4x4x4x4x4x4x4/R1,zturn,18444,18871,62.181,1.023,6.571e-16
16384,1,z:4x4x4x4x4x4x4/R1,zturn,18496,18881,62.007,1.021,6.571e-16
16384,1,z:4x4x4x4x4x4x4/R1,zturn,18549,18857,61.829,1.017,6.571e-16
32768,1,z:4x8x4x4x4x4x4/R1,zturn,39803,38223,61.744,0.960,7.195e-16
32768,1,z:4x8x4x4x4x4x4/R1,zturn,51446,52456,47.771,1.020,7.195e-16
32768,1,z:4x8x4x4x4x4x4/R1,zturn,39128,42887,62.809,1.096,7.195e-16
