128,1,z:ilp,ilp,82,68,54.316,0.826,2.142e-16
128,1,z:ilp,ilp,75,68,60.029,0.909,2.142e-16
256,1,z:ilp,ilp,179,136,57.338,0.764,3.135e-16
256,1,z:ilp,ilp,179,136,57.317,0.760,3.135e-16
256,1,z:ilp,ilp,179,136,57.292,0.758,3.135e-16
512,1,z:ilp,ilp,422,295,54.566,0.698,3.850e-16
512,1,z:ilp,ilp,412,291,55.876,0.706,3.850e-16
512,1,z:ilp,ilp,429,291,53.730,0.677,3.850e-16
1024,1,z:ilp,ilp,1147,845,44.656,0.737,4.515e-16
1024,1,z:ilp,ilp,1377,845,37.184,0.613,4.515e-16
1024,1,z:ilp,ilp,1426,837,35.911,0.587,4.515e-16
