N,K,category,factors,vfft_ns,mkl_ns,vfft_gflops,mkl_gflops,ratio_vs_mkl
30030,32,mixed_deep,13x5x6x11x7,1897905,4692555,37.656,15.230,2.472
30030,256,mixed_deep,6x11x5x7x13,26732685,57013265,21.387,10.028,2.133
60060,4,mixed_deep,20x13x3x7x11,604575,1086295,31.539,17.553,1.797
60060,32,mixed_deep,12x11x5x7x13,4742470,11635210,32.165,13.111,2.453
60060,256,mixed_deep,12x5x11x7x13,55336565,125253690,22.053,9.743,2.263
4620,4,mixed_deep,5x12x7x11,30608,65472,36.750,17.181,2.139
4620,32,mixed_deep,12x7x11x5,190570,604090,47.220,14.896,3.170
4620,256,mixed_deep,12x7x5x11,1930340,5192985,37.294,13.863,2.690
13860,4,mixed_deep,3x5x12x7x11,112853,210475,33.795,18.120,1.865
13860,32,mixed_deep,11x5x6x6x7,756075,2135375,40.355,14.288,2.824
13860,256,mixed_deep,12x5x11x7x3,9849770,23191880,24.781,10.525,2.355
